Ticker,Company Name,P/E (F2),PEG Ratio,Div. Yield %,Net Margin,Debt/Total Capital,Last Qtr EPS,Last Reported Qtr ,% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q2 Est. (4 weeks),Q0 Consensus Est. (last completed fiscal Qtr),# of Analysts in Q0 Consensus,Q1 Consensus Est.,# of Analysts in Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),P/E (F1),P/E (Trailing 12 Months),F2 Consensus Est.,Exchange,Sector,Month of Fiscal Yr End,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,% Change F1 Est. (4 weeks),% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),F0 Consensus Est.,F1 Consensus Est.,# of Analysts in Q2 Consensus,Market Cap 
A,"Agilent Technologies, Inc.",23.57,2.35,0.85,0.15,28.454,0.66,20180101,0,-1.04,1.59,0.58,10,0.63,9,0.64,26.27,28.07,2.98,NYSE,Computer and Technology,10,Electronics - Testing Equipment,13.79,6.35,13.61,20180528,3.93,3.4,-12.99,2.32,2.67,8,22648.3
AA,Alcoa Corp.,12.85,1.53,0,0.02,16.95599,1.04,20171201,-7.8,0,0,1.13,6,0.63,5,0.75,13.19,15.59,3.65,NYSE,Industrial Products,12,Metal Products - Distribution,-15.45,-4,-0.39,20180423,0,0,0,3.19,3.56,4,8737.22
AAAP,Advanced Accelerator Applications S.A.,,,0,,0,-0.61,20170901,,,,-0.18,3,,,,,,,NSDQ,Medical,12,Medical - Drugs,-238.89,-84.62,-90.22,20180322,,,,,,,3589.76
AABA,Altaba Inc.,,,0,,,0.18,20170301,,,,0.16,6,,,,,110.31,,NSDQ,Finance,12,Financial - Investment Management,12.5,13.64,14.75,20180319,,,,18.71,,,69363.68
AACAY,AAC Technologies Holdings Inc.,17.45,0.66,0.97,,4.3017,0.13,20170601,0,,,0.24,1,,,,21.8,34.35,1.13,OTC,Computer and Technology,12,Electronics - Miscellaneous Components,,,,20180328,-1.2,-1.74,0,0.67,0.9,,24055.07
AAGIY,AIA GROUP LTD,,,1.21,0.16,,,,,,,,,,,,,,,OTC,Finance,11,Insurance - Life Insurance,,,,,,,,,,,103056.2
AAL,"American Airlines Group, Inc.",7.82,0.49,0.73,0.05,85.15,0.95,20171201,0,6.12,1.96,0.92,9,0.56,9,2.08,9.31,11.26,7.05,NSDQ,Transportation,12,Transportation - Airline,3.26,2.16,3.78,20180426,2.17,2.82,136.04,4.83,5.93,7,26103.06
AAN,"Aaron's,  Inc.",12.42,,0.25,0.09,17.58799,0.65,20171201,1.66,0.83,5.29,0.55,7,0.95,7,0.85,13.98,18.69,3.85,NYSE,Retail-Wholesale,12,Retail - Consumer Electronics,20.37,-20.37,9.61,20180427,3.19,8.96,,2.46,3.42,7,3353.19
AAON,"AAON, Inc.",22.96,1.94,0.67,0.13,0,0.22,20171201,,0,6.25,0.24,1,0.25,1,0.34,29.17,40.84,1.69,NSDQ,Construction,12,Building Products - Air Conditioner and Heating,-8.33,-6.67,-6.79,20180503,3.91,9.74,0,0.97,1.33,1,2034.41
AAP,"Advance Auto Parts, Inc.",15.45,1.5,0.2,0.05,23.41799,0.77,20171201,0.46,-2.17,2.22,0.64,10,1.98,11,1.86,17.44,21.77,7.58,NYSE,Retail-Wholesale,12,Automotive - Retail and Wholesale - Parts,18.46,19.17,2.21,20180523,3.35,-0.37,20.14,5.24,6.71,10,8662.84
AAPL,Apple Inc.,14.03,1.35,1.41,0.21,42.56999,3.89,20171201,0.31,-0.25,-1.11,3.85,9,2.71,10,2.2,15.62,18.36,12.73,NSDQ,Computer and Technology,9,Computer - Mini computers,1.83,10.7,5.72,20180501,-0.23,0.8,0,9.01,11.43,9,906472.44
AAT,"American Assets Trust, Inc.",15.25,3.05,3.28,0.13,61.08399,0.46,20171201,0,-0.66,-1.96,0.54,4,0.5,4,0.5,16.05,17.23,2.16,NYSE,Finance,12,REIT and Equity Trust - Retail,-14.81,-3.7,-6.72,20180501,-0.61,1.05,-7.62,2,2.05,2,1553.03
AAWW,Atlas Air Worldwide Holdings,9.36,,0,0.1,52.88399,2.43,20171201,2.16,36.31,-9.88,2.13,4,0.57,4,1.03,10.97,12.79,6.71,NSDQ,Transportation,12,Transportation - Air Freight and Cargo,16.83,-4.42,10.99,20180502,6.75,8.4,,4.59,5.72,3,1597.31
AAXN,"TASER International, Inc.",55.97,4.03,0,0.02,0,0.18,20171201,-20,,,-0.04,3,0.04,2,0.08,100.75,128.73,0.69,NSDQ,Industrial Products,12,Security and Safety Services,700,-80,188.33,20180508,116.98,35.29,0,0.1,0.38,2,2048.19
AB,AllianceBernstein Holding L.P.,9.85,1.17,12.8,0.06,0,0.84,20171201,0,4.96,1.75,0.66,2,0.63,2,0.58,10.42,11.41,2.66,NYSE,Finance,12,Financial - Investment Management,27.27,-1.92,8.54,20180426,1.41,0.76,0,2.13,2.52,1,2532.13
ABAX,"Abaxis,Inc.",51.09,12.67,0.86,0.14,0.07111,0.31,20171201,0,1.59,1.89,0.28,4,0.32,4,0.36,64.09,61.44,1.46,NSDQ,Medical,3,Medical - Products,6.9,0,-0.62,20180426,-3.6,4.55,0,1.28,1.16,3,1687.37
ABB,ABB Ltd,15.91,2.51,3.01,0.06,30.415,0.33,20171201,10.2,10.35,7.46,0.27,2,0.32,1,0.36,17.17,19.3,1.52,NYSE,Industrial Products,12,Manufacturing - Electronics,32,13.33,14.12,20180419,2.26,1.11,0,1.18,1.4,1,51604.56
ABBV,AbbVie Inc.,13.2,1.08,2.47,0.19,85.861,1.48,20171201,0.31,0,0.09,1.45,8,1.78,9,1.87,15.32,20.56,8.7,NYSE,Medical,12,Large Cap Pharmaceuticals,2.78,1.44,1.81,20180426,0.26,1.54,0.65,5.56,7.5,6,182505.73
ABC,AmerisourceBergen Corporation (Holding Co),13.25,1.47,1.56,0,61.63,1.55,20171201,1.09,0.05,0,1.36,9,1.81,10,1.57,14.93,16.01,7.35,NYSE,Medical,9,Medical - Dental Supplies,14.81,0.76,5.87,20180503,0.09,0.25,7.05,5.88,6.52,8,21386.97
ABCB,Ameris Bancorp,13.76,,0.7,0.18,29.468,0.63,20171201,-3.17,0,0,0.61,3,0.77,2,0.9,16.34,22.87,4.14,NSDQ,Finance,12,Banks - Southeast,0,-3.08,-1.12,20180420,0,2.14,,2.48,3.48,2,2177.8
ABCZY,Abcam PLC Unsponsored ADR,33.2,,0.42,,,,,,,,,,,,,38.97,,0.54,OTC,Medical,6,Medical - Products,,,,,0,0,,0.33,0.46,,3674.12
ABEV,Ambev S.A.,23.23,,2.09,0.15,7.0689,0.08,20171201,0,,,0.1,1,,,,24.83,31.3,0.31,NYSE,Consumer Staples,12,Beverages - Alcohol,-20,0,-5,20180503,0,-6.06,,0.18,0.29,,113047.93
ABG,"Asbury Automotive Group, Inc.",8.56,0.85,0,0.02,68.635,1.81,20171201,0,4.06,2.51,1.6,7,1.79,6,1.88,9.13,10.64,8.02,NYSE,Retail-Wholesale,12,Automotive - Retail and Whole Sales,13.12,-5.73,2.01,20180426,6.93,6.82,0,6.25,7.52,5,1435.69
ABLYF,ABLYNX NV,,,0,-1.95,,,,0,0,0,-0.21,1,-0.19,1,-0.21,,,-0.98,OTC,Medical,12,Medical - Biomedical and Genetics,,,,20180524,0,0,,-1.19,-1.29,1,4046.48
ABM,ABM Industries Incorporated,14.85,,2.02,0,45.30199,0.26,20180101,-12.5,-13.46,-9.52,0.28,1,0.45,1,0.57,17.93,21.23,2.33,NYSE,Business Services,10,Building Products - Maintenance Service,-7.14,-19.57,-4.13,20180606,-8.1,-11.41,,1.85,1.93,1,2269.05
ABMD,"ABIOMED, Inc.",91.13,4.08,0,0.12,0,0.7,20171201,-3.17,2.28,2.37,0.48,7,0.64,7,0.79,128.63,153.42,3.23,NSDQ,Medical,3,Medical - Instruments,40,18.92,16.51,20180503,-1.97,5.64,0,1.16,2.29,6,13042.92
ABT,Abbott Laboratories,19.48,1.86,1.79,0.02,46.666,0.74,20171201,-0.14,0.05,0,0.73,10,0.58,11,0.71,21.9,25.04,3.21,NYSE,Medical,12,Medical - Products,1.37,1.54,4.47,20180418,-0.03,-0.06,1.23,2.5,2.86,9,109303.05
ABX,Barrick Gold Corporation,16.23,7.15,0.98,0.17,36.50999,0.22,20171201,0,-15.66,1.54,0.2,7,0.17,6,0.2,14.31,16.5,0.75,NYSE,Basic Materials,12,Mining - Gold,10,-5.88,-6.89,20180423,-8.13,-14.65,0,0.73,0.85,5,14249.07
ACAD,ACADIA Pharmaceuticals Inc.,,,0,-2.32,0.05663,-0.55,20171201,1.44,-11.6,-3.7,-0.57,6,-0.56,5,-0.47,,,-0.73,NSDQ,Medical,12,Medical - Biomedical and Genetics,5.17,15.87,11.24,20180508,-11.78,-8.33,,-2.41,-1.82,3,3143.74
ACBFF,Aurora Cannabis Inc.,,,0,-0.72,21.437,0.01,20171201,,,,,,,,,,,,OTC,Medical,6,Medical - Products,,,,20180521,,,,,,,4224.12
ACC,American Campus Communities Inc,14.9,12.04,4.65,0.09,47.429,0.72,20171201,0,-0.76,-5.36,0.71,6,0.65,2,0.53,15.78,16.44,2.54,NYSE,Finance,12,REIT and Equity Trust - Residential,1.41,-4.44,-1.22,20180423,-0.49,-0.49,0,2.31,2.4,1,5160.88
ACCO,Acco Brands Corporation,9.1,0.98,1.82,0.07,53.45999,0.48,20171201,0.76,15,7.46,0.44,3,0.06,4,0.36,9.76,11.19,1.45,NYSE,Industrial Products,12,Office Supplies,9.09,6.06,82.49,20180502,9.07,,0,1.15,1.35,4,1404.57
ACGBY,Agri Bank China,,,3.43,,24.25699,0.6,20170901,,,,,,,,,,7.09,,OTC,Finance,12,Banks - Foreign,,,,20180426,,,,,,,18308.05
ACGL,Arch Capital Group Ltd.,12.27,1.23,0,0.11,26.826,1.34,20171201,0,-0.76,-0.52,1.13,6,1.56,5,1.54,13.57,26.5,6.87,NSDQ,Finance,12,Insurance - Property and Casualty,18.58,-33.9,-1.93,20180424,-0.4,-0.79,0,3,6.21,5,11040.08
ACH,Aluminum Corporation of China Limited,,,0,,,0.09,20170601,,,,,,,,,,,,NYSE,Basic Materials,12,Mining - Non Ferrous,,,,20180327,,,,,,,8679.97
ACHC,"Acadia Healthcare Company, Inc.",15.09,1.36,0,0.07,55.643,0.61,20171201,0.29,-1.84,1.91,0.55,9,0.47,9,0.67,16.99,18.06,2.77,NSDQ,Medical,12,Medical - Hospital,10.91,-10.77,0.42,20180424,-0.09,-2.12,3.48,2.23,2.45,8,3668.39
ACIA,"Acacia Communications, Inc.",26.83,2.43,0,0.1,0,0.27,20171201,-2.77,-74.79,-58.13,0.24,9,0.06,8,0.15,49.72,24.82,1.63,NSDQ,Computer and Technology,12,Communication - Components,8,31.43,25.14,20180508,-44.07,-23.84,0,1.74,0.88,7,1741.64
ACIW,"ACI Worldwide, Inc.",28.11,3.33,0,0.01,46.62699,0.64,20171201,2.89,-1550,,0.45,4,-0.11,2,-0.08,39.91,31.49,0.93,NSDQ,Computer and Technology,12,Computer - Software,48.84,314.29,151.89,20180503,19.09,46.46,0,0.5,0.65,2,3029.76
ACM,AECOM,12.12,2.43,0,0.02,46.333,0.57,20171201,-0.24,0,0,0.55,5,0.65,5,0.71,13.54,12.21,3,NYSE,Construction,9,Engineering - R and D Services,3.64,4.23,17.42,20180508,0,0,0,2.9,2.69,4,5792.16
ACN,Accenture PLC,22.61,2.45,1.63,0.09,0.22408,1.79,20171101,0.11,0,0,1.49,12,1.74,11,1.65,24.48,26.61,7.2,NYSE,Business Services,8,Consulting Services,7.83,0.68,3.04,20180322,0.03,0.03,0,5.9,6.65,11,103461.38
ACOR,"Acorda Therapeutics, Inc.",,,0,-0.38,39.144,0.61,20171201,-7.91,15.24,-7.97,1.01,5,0.63,4,0.84,138.22,19.24,-2.59,NSDQ,Medical,12,Medical - Biomedical and Genetics,-44.04,-34.85,-76.84,20180426,-75.69,-9.51,,1.81,0.17,4,1128.28
ACWI,iShares MSCI ACWI ETF,,,1.9,,,,,,,,,,,,,,,,NSDQ,Finance,12,Financial - Investment Funds,,,,,,,,,,,8650.03
ACXM,Acxiom Corporation,29.5,3.76,0,0,22.74699,0.31,20171201,0,0,0,0.24,3,0.2,3,0.23,37.59,39.31,1.09,NSDQ,Computer and Technology,3,Computers - IT Services,29.17,46.67,20.74,20180515,1.78,2.58,0,0.71,0.86,3,2552.36
ADAP,Adaptimmune Therapeutics PLC,,,0,,0,-0.29,20171201,0,0,0,-0.25,5,-0.24,3,-0.25,,,-1.19,NSDQ,Medical,12,Medical - Biomedical and Genetics,-16,100,14.75,20180509,-9.65,7.18,0,-0.72,-0.83,3,1024.94
ADBE,Adobe Systems Incorporated,31.31,2.19,0,0.23,18.193,1.55,20180201,0.11,0,0,1.43,13,1.49,11,1.57,35.02,44.4,6.99,NSDQ,Computer and Technology,11,Computer - Software,8.39,9.57,9.12,20180619,0.05,0.15,0,4.2,6.25,11,107975.9
ADC,Agree Realty Corporation,15.4,3.3,4.34,0.5,36.31399,0.71,20171201,-0.12,1.19,0.46,0.69,8,0.71,6,0.72,16.48,17.62,3.11,NYSE,Finance,12,REIT and Equity Trust - Retail,2.9,0,0.73,20180423,0.3,-0.07,0,2.7,2.91,6,1394.12
ADDYY,Adidas AG,20.24,1.26,0.67,,13.218,0.21,20171201,25,6.85,5.54,0.07,5,1.56,2,1.17,24.83,30.39,5.87,OTC,Consumer Discretionary,12,Shoes and Retail Apparel ,200,1.29,54.53,20180503,2.64,2.89,1.56,4.01,4.78,2,47877.82
ADI,"Analog Devices, Inc.",16.23,1.41,2.04,0.14,41.64599,1.42,20180101,0,10.67,7.82,1.29,13,1.37,13,1.39,16.88,18.2,5.79,NSDQ,Computer and Technology,10,Semiconductor - Analog and Mixed,10.08,5.84,11.67,20180530,7.09,3.92,0,4.63,5.57,12,34739.35
ADM,Archer Daniels Midland Company,14.16,,3.1,0.03,26.70599,0.82,20171201,0.6,1.11,0.75,0.7,6,0.61,6,0.67,15.16,17.73,3.06,NYSE,Consumer Staples,12,Agriculture - Operations,17.14,-18.18,1.73,20180501,1.99,1.5,,2.32,2.85,6,24175.39
ADNT,Adient PLC,6.07,0.67,1.83,0.05,44.07099,1.06,20171201,0,0,0,1.11,5,1.98,6,2.37,8,7.14,9.9,NYSE,Auto-Tires-Trucks,9,Automotive - Original Equipment,-4.5,5.88,1.16,20180427,0,0,12.78,9.36,7.51,5,5608.59
ADP,"Automatic Data Processing, Inc.",25,2.56,2.16,0.14,33.747,0.99,20171201,0.11,-0.26,0.47,0.89,10,1.46,8,0.79,28.11,30.18,4.66,NSDQ,Business Services,6,Outsourcing,11.24,7.06,5.45,20180502,0,0.39,0,3.71,4.14,8,51632.05
ADRNY,Ahold NV,11.26,1.49,2.26,0.03,20.163,0.36,20171201,,,,0.31,1,,,,12.64,16,2,OTC,Consumer Staples,12,Consumer Products - Staples,12.9,3.7,,20180509,2.15,3.8,-25.44,1.58,1.78,,27904.94
ADRZY,ANDRITZ AG,14.72,3.08,1.78,,39.402,0.14,20170901,,,,0.19,1,,,,15.41,19.46,0.78,OTC,Industrial Products,12,Industrial Services,,,,20180316,0.68,0,0,0.72,0.75,,5969.6
ADS,Alliance Data Systems Corporation,8.82,0.77,1,0.1,90.647,6.26,20171201,-0.41,-0.49,0.76,4.98,14,4.94,12,5.24,10.04,11.79,25.87,NYSE,Business Services,12,Financial Transaction Services,25.2,6.36,8.95,20180419,-0.09,0.15,0,18.08,22.74,11,12658.49
ADSK,"Autodesk, Inc.",41.28,5.73,0,-0.28,93.661,-0.09,20180101,0.72,-68.97,-28.83,-0.12,12,0.05,12,0.19,149.01,,3.31,NSDQ,Computer and Technology,1,Computer - Software,25,7.69,21.66,20180517,-17.22,0.33,0,-0.51,0.92,10,30114.88
ADSW,Advanced Disposal Services Inc.,30.77,2.61,0,0.03,68.051,0.13,20171201,0,-11.11,-7.89,0.14,4,0.04,4,0.17,40.4,45.84,0.73,NYSE,Business Services,12,Waste Removal Services,-7.14,-5.88,56.74,20180503,-6.71,-3.95,12.37,0.5,0.56,4,1987.9
ADT,ADT Inc.,105.06,,0,,74.67199,-0.06,20171201,0,20,0,0.14,1,-0.04,2,-0.03,,,0.09,NYSE,Industrial Products,12,Security and Safety Services,-142.86,,,20180621,13.64,-5.56,,0.76,-0.1,2,6688.11
ADX,Adams Diversified Equity Fund,,,1.43,,,,,,,,,,,,,,,,NYSE,Finance,12,Financial - Investment Funds,,,,,,,,,,,1561.54
AEE,Ameren Corporation,17.14,2.62,3.34,0.08,49.19599,0.39,20171201,1.52,8.02,0,0.34,3,0.58,3,0.78,18.1,19.28,3.19,NYSE,Utilities,12,Utility - Electric Power,14.71,-5.34,5.97,20180503,0.55,1.11,-2.4,2.8,3.03,2,13289.11
AEG,Aegon NV,7.8,,3.59,0.07,37.125,0.22,20171201,,,,,,,,,8.27,8.2,0.88,NYSE,Finance,12,Insurance - Multi line,,,,20180510,5.49,0.95,,1.07,0.83,,14055.6
AEIS,"Advanced Energy Industries, Inc.",13.16,1.53,0,0.21,0,1.31,20171201,0,0,0,1.21,5,1.32,8,1.33,13.74,15.03,5.44,NSDQ,Computer and Technology,12,Semiconductor Equipment - Wafer Fabrication,8.26,1.71,7.8,20180507,0,0,0,4.67,5.21,8,2835.07
AEL,American Equity Investment Life Holding Company,8.82,,0.82,0.04,20.538,0.82,20171201,1.12,2.9,2.83,0.68,4,0.83,3,0.85,9.33,10.08,3.6,NYSE,Finance,12,Insurance - Life Insurance,22.39,52.38,27.23,20180502,1.87,2.49,,3.01,3.4,3,2854.6
AEM,Agnico Eagle Mines Limited,42.7,60.57,1.13,0.11,21.812,0.21,20171201,0,-9.76,-23.08,0.2,6,0.19,4,0.15,60.57,36.18,0.92,NYSE,Basic Materials,12,Mining - Gold,10.53,64.71,57.04,20180426,-37.28,-25.76,0,1,0.64,3,9095.23
AEO,"American Eagle Outfitters, Inc.",12.77,1.89,2.55,0.05,0,0.44,20180101,-0.45,10.71,12.72,0.44,10,0.22,10,0.25,13.39,16.89,1.53,NYSE,Retail-Wholesale,1,Retail - Apparel and Shoes,0,-5.13,1.93,20180516,8.45,12.5,27.92,1.16,1.46,8,3473.46
AEP,"American Electric Power Company, Inc.",16.25,3.2,3.7,0.12,51.46599,0.85,20171201,-0.51,-0.6,0.41,0.81,6,0.99,5,0.82,17.24,18.3,4.12,NYSE,Utilities,12,Utility - Electric Power,4.94,-4.35,-2.25,20180426,-0.06,-0.03,0,3.63,3.89,3,32959.45
AER,Aercap Holdings N.V.,7.53,0.67,0,0.21,76.689,1.67,20171201,0,8.28,-0.82,1.38,6,1.57,6,1.51,8.08,7.93,6.68,NYSE,Finance,12,Financial - Leasing Companies,21.01,10.2,11.85,20180508,-2.31,-2.35,0,6.17,6.22,4,7948.2
AERI,"Aerie Pharmaceuticals, Inc.",,,0,,47.735,-1.38,20171201,27.21,-28.62,-38.93,-1.21,4,-0.89,4,-0.97,,,-1.65,NSDQ,Medical,12,Medical - Drugs,-6.98,-14.52,-3.12,20180501,-38.81,-230.4,,-3.27,-3.57,4,2268.87
AES,The AES Corporation,8.31,1.13,4.86,-0.11,78.605,0.43,20171201,0,0,0,0.32,3,0.25,2,0.31,9.14,9.81,1.29,NYSE,Utilities,12,Utility - Electric Power,34.38,-17.24,5.3,20180514,0,0,0,1.01,1.17,2,7060.67
AET,Aetna Inc.,14.24,1.4,1.15,0.03,34.004,1.25,20171201,-0.09,-0.29,-0.59,1.18,9,3.02,9,3.47,15.75,17.76,12.26,NYSE,Medical,12,Medical - HMOs,5.93,18.93,21.46,20180501,0.73,0.75,0,9.78,11.09,8,57080.89
AETUF,Arc Resources Ltd.,,,4.88,0.32,18.665,0.17,20171201,,,,,,,,,,13.75,,OTC,Oils-Energy,12,Oil and Gas - Exploration and Production - Canadian,,,,20180502,,,,,,,3452.66
AEXAY,ATOS ORIGIN SA,,,0.91,0.05,22.49699,,,,,,,,,,,,,,OTC,Business Services,12,Technology Services,,,,,,,,,,,14754.13
AFG,"American Financial Group, Inc.",13.07,1.13,1.24,0.07,19.65299,2.2,20171201,0,0,0,1.65,3,1.9,2,1.9,13.73,17.17,8.62,NYSE,Finance,12,Insurance - Property and Casualty,33.33,24.71,26.31,20180502,0,0,0,6.05,8.2,1,9958.53
AFL,Aflac Incorporated,11.19,2.35,2.31,0.21,17.697,1.6,20171201,-0.49,0,0,1.55,7,1.91,6,1.95,11.73,13.24,8.04,NYSE,Finance,12,Insurance - Accident and Health,3.23,4.94,5.88,20180426,0,0,0,6.76,7.68,6,35079.26
AFLYY,Air France-KLM SA,4.06,0.55,0,-0.01,69.18199,0.06,20171201,0,13.64,2.53,0.5,1,-0.19,1,0.81,4.29,9.86,2.87,OTC,Transportation,12,Transportation - Airline,-88,61.82,,20180503,-3.39,-1.21,0,3.47,2.71,1,4986.73
AFSI,"AmTrust Financial Services, Inc.",5.81,,5.44,,25.86899,-0.04,20170901,-1.37,0,3.33,0.24,3,0.3,1,0.31,8.47,11.79,2.15,NSDQ,Finance,12,Insurance - Property and Casualty,95.92,-2.44,-0.72,20180319,4.12,0,,0.91,1.48,1,2451.15
AGCO,AGCO Corporation,15.01,1.45,0.89,0.02,34.33,1.1,20171201,0.3,5.73,-0.6,1.11,9,0.13,9,1.33,18.29,22.33,4.49,NYSE,Industrial Products,12,Manufacturing - Farm Equipment,-0.9,9.72,26.91,20180427,-0.44,-0.48,0,3.03,3.69,9,5370.02
AGESY,Ageas SA,11.45,2.67,3.08,0.05,,1.55,20171201,,,,,,,,,11.91,15.24,4.67,OTC,Finance,12,Insurance - Multi line,,,,20180509,2.16,-11.22,,3.33,4.49,,11198.71
AGG,iShares Core U.S. Aggregate Bond ETF,,,2.41,,,,,,,,,,,,,,,,NYSE,Finance,12,Financial - Investment Funds,,,,,,,,,,,54778.55
AGI,Alamos Gold Inc.,14.98,0.8,0.39,0.05,0.12292,0.04,20171201,0,-20,0,0.05,4,0.04,2,0.04,26.17,39.46,0.34,NYSE,Basic Materials,12,Mining - Gold,-20,66.67,11.67,20180503,6.52,-4.86,,0.16,0.2,1,1997.48
AGII,"Argo Group International Holdings, Ltd.",14.65,,1.88,0.03,17.87999,-0.57,20171201,0,3.21,-8.78,-0.44,1,0.78,2,0.84,16.54,,3.92,NSDQ,Finance,12,Insurance - Property and Casualty,-29.41,13.96,5.06,20180502,-1.4,1.31,,-0.35,3.47,2,1939.76
AGIO,"Agios Pharmaceuticals, Inc.",,,0,-7.32,0,-1.81,20171201,0.12,14.21,19.41,-1.65,5,-1.6,5,-1.57,,,-4.42,NSDQ,Medical,12,Medical - Products,-9.7,8.62,-1.34,20180503,7.82,4.62,,-6.59,-6.15,4,4789.65
AGN,Allergan plc,10.01,1.17,1.73,-0.26,25.926,4.86,20171201,-0.28,-0.07,0.36,4.74,20,3.35,19,3.89,10.66,10.14,16.59,NYSE,Medical,12,Medical - Generic Drugs,2.32,2.22,1.8,20180508,0.22,0.32,0,16.24,15.58,20,57866.02
AGNC,AGNC Investment Corp.,8.14,,11.53,1,3.91829,0.62,20171201,0.81,0,0,0.62,4,0.61,3,0.61,7.78,7.44,2.3,NSDQ,Finance,12,REIT and Equity Trust,0,-6.35,4.39,20180425,0,0,,2.55,2.41,3,7333.28
AGO,Assured Guaranty Ltd.,,,1.82,0.42,15.89,0.77,20171201,,,,,,,,,,6.57,,NYSE,Finance,12,Insurance - Multi line,,,,20180503,,,,,,,4057.8
AGPYY,Agile Property Holdings Ltd.,,,3.09,,,,,,,,,,,,,,,,OTC,Finance,12,Real Estate - Development,,,,20180321,,,,,,,6559.49
AGR,"Avangrid, Inc.",19.81,2.29,3.46,0.06,23.854,0.61,20171201,-8.26,-7.41,2.08,0.56,4,0.75,4,0.49,21.11,22.69,2.52,NYSE,Utilities,12,Utility - Electric Power,0,8.11,9.94,20180424,-1.32,-1.75,10.68,2.2,2.37,2,15425.54
AGRO,Adecoagro S.A.,16.5,,0,,57.296,-0.03,20170901,0,,,0.16,1,,,,27.05,58.93,0.5,NYSE,Consumer Staples,12,Agriculture - Operations,-80.95,-81.82,,20180315,-26.51,0,,0.2,0.31,,1001.54
AHCHY,Anhui Conch Cement Co.,14.15,,1.04,,9.66919,0.43,20170901,,,,,,,,,14.68,,1.96,OTC,Construction,12,Building Products - Concrete and Aggregates,,,,20180322,0,0,,1.75,1.89,,7210.18
AHEXY,Adecco SA,11.25,1.66,1.19,,27.81399,0.43,20170901,,,,0.64,1,,,,11.63,16.11,3.3,OTC,Business Services,12,Outsourcing,,,,20180322,2.74,4.27,16.67,2.86,3.18,,12684.37
AHGP,"Alliance Holdings GP, L.P.",7.74,,11.73,0.1,29.093,0.82,20171201,0,0,0,0.87,1,0.82,1,0.87,7.51,7.94,3.27,NSDQ,Oils-Energy,12,Coal,-5.75,-28.57,-5.8,20180507,0,0,,3.15,3.37,1,1515.73
AHKSY,Asahi Kasei Corp.,14,-2.82,1.49,0.06,14.055,0.54,20170901,,,,,,,,,14.11,15.33,1.9,OTC,Basic Materials,3,Chemical - Diversified ,,,,20180320,0,0,0,1.19,1.89,,18703.88
AHL,Aspen Insurance Holdings Limited,10.38,,2.31,-0.11,16.856,-3.14,20171201,0,0,0,-3.46,1,1.01,1,1.04,11.22,,4,NYSE,Finance,12,Insurance - Property and Casualty,9.25,5.72,0.71,20180425,0,0,,-6.9,3.7,1,2468.17
AIG,"American International Group, Inc.",9,0.9,2.34,-0.12,32.50199,0.57,20171201,0,-5.69,-2.28,0.78,7,1.29,5,1.39,9.92,24.4,6.07,NYSE,Finance,12,Insurance - Multi line,-26.92,-46.99,-5.97,20180502,-2.19,-2.35,0,2.56,5.51,4,49328.95
AIMC,Altra Industrial Motion Corp.,17.49,,1.45,0.06,40.992,0.47,20171201,0,,,0.49,2,0.61,2,0.67,19.39,22.95,2.69,NSDQ,Industrial Products,12,Manufacturing - General Industrial ,-4.08,4.35,11.13,20180427,1.82,,,2.05,2.43,2,1382.49
AIMT,"Aimmune Therapeutics, Inc.",,,0,,0,-0.81,20171201,-3.15,6.85,8.78,-0.72,5,-0.67,5,-0.68,,,-2.91,NSDQ,Medical,12,Medical - Biomedical and Genetics,-12.5,12.5,0.08,20180514,7.01,3.54,,-2.55,-2.74,4,1827.88
AIN,Albany International Corporation,24.85,,1.02,0.04,47.291,0.43,20171201,0,0,0,0.4,1,0.47,1,0.5,32.77,41.26,2.69,NYSE,Industrial Products,12,Textile - Products,7.5,,,20180503,0,0,,1.24,2.04,1,2152.57
AINV,Apollo Investment Corporation,8.3,1.74,11.07,0.07,37.784,0.16,20171201,-1.06,0,0,0.16,6,0.16,6,0.16,8.72,8.47,0.65,NSDQ,Finance,3,Financial - SBIC & Commercial Industry,0,0,1.56,20180517,0,0,0,0.66,0.62,4,1173.56
AIQUY,Air Liquide,17.64,1.38,1.58,0.11,46.43799,,,,,,,,,,,19.27,,1.42,OTC,Basic Materials,12,Chemical - Diversified ,,,,,2.91,3.03,4.83,1.18,1.3,,53533.95
AIR,AAR Corp.,15.98,,0.69,0.03,19.228,0.35,20171101,0,0,0,0.5,3,0.71,3,0.55,23.37,29.45,2.73,NYSE,Aerospace,5,Aerospace - Defense Equipment,-5.41,0,-0.77,20180320,0,0,,1.46,1.87,3,1513.51
AIRYY,Air China Ltd.,,0.65,0.89,,43.18299,0.42,20170601,,,,,,,,,13.05,,,OTC,Transportation,12,Transportation - Airline,,,,20180424,0,,0,2.29,2.26,,6727.1
