Ticker,Company Name,P/E (F2),PEG Ratio,Div. Yield %,Net Margin,Debt/Total Capital,Last Qtr EPS,Last Reported Qtr ,% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q2 Est. (4 weeks),Q0 Consensus Est. (last completed fiscal Qtr),# of Analysts in Q0 Consensus,Q1 Consensus Est.,# of Analysts in Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),P/E (F1),P/E (Trailing 12 Months),F2 Consensus Est.,Exchange,Sector,Month of Fiscal Yr End,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,% Change F1 Est. (4 weeks),% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),F0 Consensus Est.,F1 Consensus Est.,# of Analysts in Q2 Consensus,Market Cap 
SRG,Seritage Growth Properties,16.38,,2.85,-0.31,50.462,0.21,20171201,0,-29.63,-16.98,0.49,1,0.38,1,0.44,20.14,23.84,2.14,NYSE,Finance,12,REIT and Equity Trust - Other,-57.14,-38.46,-28.67,20180503,-16.75,-4.04,,1.76,1.74,1,1293.14
SRPT,"Sarepta Therapeutics, Inc.",183.2,,0,-0.33,34.99499,-0.37,20171201,12.24,-5.14,-7.18,-0.31,10,-0.32,9,-0.32,,,0.44,NSDQ,Medical,12,Medical - Biomedical and Genetics,-19.35,9.3,-5.23,20180426,-17.02,-57.95,,-0.8,-1.18,8,5277.54
SSAAY,SSAB SVENSKT,15.53,,0,0.03,21.66099,0.02,20171201,,,,,,,,,15.53,21.51,0.18,OTC,Basic Materials,12,Steel - Producers,,,,20180420,0,0,,0.15,0.18,,5758.84
SSB,South State Corporation,14.13,1.92,1.47,0.15,8.56849,1.3,20171201,0.56,0,0,1.2,3,1.29,3,1.43,15.4,18.45,6.34,NSDQ,Finance,12,Banks - Southeast,9.24,1.67,3.17,20180420,0,0,0,4.7,5.81,3,3292.26
SSD,"Simpson Manufacturing Company, Inc.",17.68,4.34,1.45,0.09,0.293,0.31,20171201,0,0,0,0.37,2,0.49,2,0.75,21.68,32.35,3.28,NYSE,Construction,12,Building Products - Miscellaneous,-16.22,-4.84,-8.41,20180426,0,0,0,2.05,2.67,2,2703.05
SSDOY,Shiseido Co.,,,0,0.02,22.381,0.15,20171201,,,,,,,,,,42.44,,OTC,Consumer Staples,12,Cosmetics,,,,20180511,,,,0.82,,,24448
SSEZY,SSE PLC,11.18,6.35,6.96,0.06,58.039,,,,,,,,,,,11.18,,1.54,OTC,Computer and Technology,3,Electronics - Power Generation,,,,,0.65,-1.91,0,1.55,1.54,,17464.81
SSL,Sasol Ltd.,10.55,9.46,1.92,0.12,26.61499,,,,,,,,,,,12.11,,3.18,NYSE,Oils-Energy,6,Oil and Gas - Integrated - International,,,,20180226,0,0,0,2.46,2.77,,21849.16
SSLTY,Santos Ltd.,,,0,,,,,,,,,,,,,,,,OTC,Oils-Energy,12,Oil and Gas - Exploration and Production - United States,,,,20180322,,,,,,,7874.01
SSMXY,Sysmex Corporation ADR,,,0.23,0.16,0.20342,0.24,20170901,,,,0.26,1,,,,,53.74,,OTC,Medical,3,Medical - Instruments,,,,20180316,,,,0.92,,,17918.78
SSNC,"SS&C Technologies Holdings, Inc.",20.95,1.56,0.54,0.2,42.76599,0.54,20171201,-0.33,-2.7,-2.94,0.52,7,0.54,7,0.55,22.96,26.84,2.49,NSDQ,Computer and Technology,12,Computer - Software,1.89,0,0.47,20180426,-0.63,0.47,0,1.93,2.27,7,10761.36
SSNLF,Samsung Electronics Co.,,,0,,,68.33,20170601,,,,,,,,,,11.99,,OTC,Computer and Technology,12,Electronics - Miscellaneous Products,,,,20180319,,,,,,,283734.16
SSP,E.W. Scripps Company (The),29.02,9.6,1.53,-0.02,42.312,0.14,20171201,0,-633.33,34.48,0.05,2,-0.08,2,0.19,19.21,76.82,0.45,NYSE,Consumer Discretionary,12,Broadcast Radio and Television,180,40,75.83,20180504,-1.81,0,0,-0.21,0.68,2,1064.57
SSPPF,SSP GROUP PLC,25,,0,,,,,,,,,,,,,28.23,,0.35,OTC,Retail-Wholesale,9,Retail - Restaurants,,,,,0,0,,0.27,0.31,,4194.68
SSREY,Swiss Re Ltd.,12.39,,3.94,0.01,21.96199,0.39,20161201,,,,,,,,,12.7,4.02,2.05,OTC,Finance,12,Insurance - Multi line,,,,,5.26,0,,0.12,2,,36583.31
SSRM,Silver Standard Resources Inc.,19.05,,0,0.15,18.54899,0.02,20171201,0,-300,-28.57,0.11,2,-0.02,1,0.05,41.14,26.62,0.47,NSDQ,Basic Materials,12,Mining - Miscellaneous,-81.82,-33.33,,20180502,-29.03,61.02,,0.42,0.22,1,1084.9
SSTK,"Shutterstock, Inc.",30.3,,0,0.03,0,0.3,20171201,-10.71,-1.41,0,0.3,5,0.35,4,0.32,38.53,44.92,1.72,NYSE,Computer and Technology,12,Internet - Content,-11.76,19.23,-10.39,20180502,-2.87,-1.71,,1.19,1.35,4,1810.61
SSUMY,Sumitomo Corp.,10.7,,1.17,0.04,50.63499,0.69,20171201,,,,,,,,,15.23,7.58,1.58,OTC,Conglomerates,3,Diversified Operations,,,,20180508,0,0,,1.08,1.11,,21147.7
