Company Name,Ticker,Q0 Consensus Est. (last completed fiscal Qtr),Q1 Consensus Est. ,# of Analysts in Q0 Consensus,# of Analysts in Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Div. Yield %,Net Margin,% Change LT Growth Est. (4 weeks),% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),Exchange,Month of Fiscal Yr End,Sector,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,Last Reported Qtr ,Last Qtr EPS,% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q2 Est. (4 weeks),Debt/Total Capital,Market Cap 
"Agilent Technologies, Inc.","A",".58",".64","10","9",".65","7","2.32","2.7","2.99","25.46","23.56","21.28","2.11",".94",".15","0",".68","1.12","NYSE","10","Computer and Technology","Electronics - Testing Equipment","13.79","6.35","13.61","20180528","20180101",".66",".86","1.17","1.31","28.454","20525.6"
"Alcoa Corp.","AA",".65",".74","5","4",".9","4","3.19","3.57","3.64","15.96","13.48","13.19","1.56","0",".02","0","-.27",".24","NYSE","12","Industrial Products","Metal Products - Distribution","-15.45","-4","-.39","20180418","20171201","1.04","2.85","-1.66",".28","16.95599","8945.76"
"Advanced Accelerator Applications S.A.","AAAP","-.18","","3","","","","","","","","","","","0","","","","","NSDQ","12","Medical","Medical - Drugs","-238.89","-84.62","-90.22","20180530","20170901","-.61","","","","0","3589.76"
"Altaba Inc.","AABA",".16","","6","","","","18.71","","","270.2","","","","0","","","","","NSDQ","12","Finance","Financial - Investment Management","12.5","13.64","14.75","20180417","20170301",".18","","","","","58996.69"
"AAC Technologies Holdings Inc.","AACAY",".24","","1","","","",".67",".93","1.16","30.42","18.81","15.04",".57","1.1","","0",".96","1.37","OTC","12","Computer and Technology","Electronics - Miscellaneous Components","","","","20180511","20170601",".13","0","","","","21299.46"
"AIA GROUP LTD","AAGIY","","","","","","","","","","","","","","1.2",".16","","","","OTC","11","Finance","Insurance - Life Insurance","","","","","","","","","","8.5431","103720.3"
"American Airlines Group Inc.","AAL",".58","2.1","9","7","1.86","7","4.83","5.94","7.07","10.26","8.46","7.11",".45",".8",".05","11.33",".82","1.24","NSDQ","12","Transportation","Transportation - Airline","3.26","2.16","3.78","20180426","20171201",".95","10.53",".96","-.15","85.15","23794.16"
"Aaron's,  Inc.","AAN",".95",".85","7","7",".71","7","2.46","3.41","3.85","18.28","13.71","12.15","",".26",".09","","0","0","NYSE","12","Retail-Wholesale","Retail - Consumer Electronics","20.37","-20.37","9.61","20180427","20171201",".65","0","0","0","17.58799","3279.6"
"AAON, Inc.","AAON",".25",".34","1","1",".41","1",".97","1.33","1.69","36.11","25.79","20.3","1.72",".76",".13","0","0","0","NSDQ","12","Construction","Building Products - Air Conditioner and Heating","-8.33","-6.67","-6.79","20180503","20171201",".22","0","0","0","0","1798.35"
"Advance Auto Parts, Inc.","AAP","1.98","1.86","11","10","1.75","10","5.24","6.7","7.57","20.8","16.7","14.79","1.35",".21",".05","0","0","0","NYSE","12","Retail-Wholesale","Automotive - Retail and Wholesale - Parts","18.46","19.17","2.21","20180523","20171201",".77","0","0","0","23.41799","8278.88"
"Apple Inc.","AAPL","2.71","2.17","10","9","2.59","9","9.01","11.37","12.51","17.31","14.8","13.46","1.28","1.5",".21",".09","-1.78","-.47","NSDQ","9","Computer and Technology","Computer - Mini computers","1.83","10.7","5.72","20180501","20171201","3.89","-.11","-1.27","-.43","42.56999","854362.38"
"American Assets Trust, Inc.","AAT",".5",".5","4","2",".53","2","2","2.05","2.16","18.03","16.8","15.96","3.19","3.14",".13","0",".12","-.12","NYSE","12","Finance","REIT and Equity Trust - Retail","-14.81","-3.7","-6.72","20180501","20171201",".46","0","-.99","0","61.08399","1625.27"
"Atlas Air Worldwide Holdings","AAWW",".57","1.03","4","3","1.36","3","4.59","5.72","6.71","12.37","10.61","9.05","","0",".1","","0","0","NSDQ","12","Transportation","Transportation - Air Freight and Cargo","16.83","-4.42","10.99","20180502","20171201","2.43","0","0","0","52.88399","1545.18"
"Axon Enterprise, Inc","AAXN",".04",".08","4","4",".12","4",".1",".39",".68","167.36","108.39","61.76","4.34","0",".02","0","-1.81",".7","NSDQ","12","Industrial Products","Security and Safety Services","700","-80","188.33","20180508","20171201",".18","14.29","-6.25","-7.69","0","2230.36"
"AllianceBernstein Holding L.P.","AB",".63",".58","2","1",".61","1","2.13","2.52","2.66","11.46","10.46","9.89","1.17","12.75",".06","0","0","0","NYSE","12","Finance","Financial - Investment Management","27.27","-1.92","8.54","20180426","20171201",".84","0","0","0","0","2541.77"
"Abaxis,Inc.","ABAX",".32",".36","4","3",".38","3","1.16","1.46","1.63","56.9","47.32","42.24","9.35",".93","","0","0",".81","NSDQ","3","Medical","Medical - Products","6.9","0","-.62","20180426","20171201",".31","1.59","1.89","1.79",".07111","1562.76"
"ABB Ltd","ABB",".31",".36","1","1",".38","1","1.18","1.4","1.52","17.86","15.89","14.72","2.32","2.32",".06","0","0","0","NYSE","12","Industrial Products","Manufacturing - Electronics","32","13.33","14.12","20180419","20171201",".33","0","0","0","30.415","47733.68"
"AbbVie Inc.","ABBV","1.78","1.87","9","6","1.92","6","5.56","7.51","8.65","16.06","11.95","10.38",".85","3.16",".19","-.41","-.47",".49","NYSE","12","Medical","Large Cap Pharmaceuticals","2.78","1.44","1.81","20180426","20171201","1.48","-.06","-.09","-.09","85.861","142568.22"
"AmerisourceBergen Corporation","ABC","1.81","1.57","10","8","1.64","8","5.88","6.57","7.31","14.05","13.01","11.69","1.28","1.78","0","0","-.52","-.19","NYSE","9","Medical","Medical - Dental Supplies","14.81",".76","5.87","20180503","20171201","1.55","0","0","0","61.63","18761.93"
"Ameris Bancorp","ABCB",".77",".9","2","2",".88","2","2.48","3.48","4.14","20.88","14.92","12.56","",".77",".18","","0","0","NSDQ","12","Finance","Banks - Southeast","0","-3.08","-1.12","20180420","20171201",".63","0","0","0","29.468","1992.85"
"Abcam PLC Unsponsored ADR","ABCZY","","","","","","",".33",".46",".54","","39.32","33.5","",".42","","","0","0","OTC","6","Medical","Medical - Products","","","","","","","","","","","3707.21"
"Ambev S.A.","ABEV",".1","","1","","","",".18",".29",".31","29.83","23.66","22.13",".99","2.19",".15","0","0","0","NYSE","12","Consumer Staples","Beverages - Alcohol","-20","0","-5","20180503","20171201",".08","0","","","7.0689","107709.56"
"Asbury Automotive Group, Inc.","ABG","1.79","1.88","6","5","1.84","5","6.25","7.52","8.02","10.31","8.84","8.29",".82","0",".02","0","-.29",".89","NYSE","12","Retail-Wholesale","Automotive - Retail and Whole Sales","13.12","-5.73","2.01","20180426","20171201","1.81","1.53","1.18","1.32","68.635","1390.71"
"ABLYNX NV","ABLYF","-.19","-.21","1","1","-.22","1","-1.19","-1.29","-.98","","","","","0","-1.96","","0","0","OTC","12","Medical","Medical - Biomedical and Genetics","","","","20180524","","","0","0","0","46.31499","4101.34"
"ABM Industries Incorporated","ABM",".28",".45","1","1",".57","1","1.85","1.93","2.33","20.02","16.91","14","","2.15","0","","0","0","NYSE","10","Business Services","Building Products - Maintenance Service","-7.14","-19.57","-4.13","20180606","20180101",".26","0","-2.17","0","45.30199","2139.26"
"ABIOMED, Inc.","ABMD",".64",".79","7","6",".69","6","2.29","3.23","4.31","149.07","88.54","66.43","2.81","0","","0","0","0","NSDQ","3","Medical","Medical - Instruments","40","18.92","16.51","20180503","20171201",".7","0","0","0","0","12673.25"
"Abbott Laboratories","ABT",".58",".71","11","9",".75","9","2.5","2.86","3.22","23.03","20.14","17.9","1.71","1.95",".02","1.23",".1",".05","NYSE","12","Medical","Medical - Products","1.37","1.54","4.47","20180418","20171201",".74",".16",".16","0","46.666","100536.45"
"Barrick Gold Corporation","ABX",".16",".19","6","5",".22","5",".73",".84",".72","17.15","15.05","17.59","7.52",".95",".17","0","-4.15","-3.44","NYSE","12","Basic Materials","Mining - Gold","10","-5.88","-6.89","20180423","20171201",".22","-11.43","-3.03",".93","36.50999","14807.87"
"ACADIA Pharmaceuticals Inc.","ACAD","-.56","-.47","5","3","-.39","3","-2.41","-1.82","-.73","","","","","0","-2.32","",".27",".22","NSDQ","12","Medical","Medical - Biomedical and Genetics","5.17","15.87","11.24","20180508","20171201","-.55",".36",".71",".85",".05663","2684.83"
"Aurora Cannabis Inc.","ACBFF","","","","","","","","","","","","","","0","-.72","","","","OTC","6","Medical","Medical - Products","","","","20180521","20171201",".01","","","","21.437","3108.88"
"American Campus Communities Inc","ACC",".64",".54","4","2",".46","2","2.31","2.38","2.55","16.83","16.28","15.2","11.71","4.55",".09","6.11",".24","-.96","NYSE","12","Finance","REIT and Equity Trust - Residential","1.41","-4.44","-1.22","20180423","20171201",".72","-2.65",".94","-2.13","47.429","5285.09"
"Acco Brands Corporation","ACCO",".06",".36","4","4",".4","4","1.15","1.35","1.45","10.89","9.5","8.86",".95","1.87",".07","0","0","0","NYSE","12","Industrial Products","Office Supplies","9.09","6.06","82.49","20180502","20171201",".48","0","0","0","53.45999","1367.32"
"Agri Bank China","ACGBY","","","","","","","","","","6.62","","","","3.67","","","","","OTC","12","Finance","Banks - Foreign","","","","20180427","20170901",".6","","","","24.25699","17090.79"
"Arch Capital Group Ltd.","ACGL","1.58","1.54","6","5","1.46","5","3","6.23","6.93","26.86","13.71","12.33","1.25","0",".11","0",".85",".3","NSDQ","12","Finance","Insurance - Property and Casualty","18.58","-33.9","-1.93","20180501","20171201","1.34","1.63",".26",".14","26.826","11675.8"
"Aluminum Corporation of China Limited","ACH","","","","","","","","","","","","","","0",".01","","","","NYSE","12","Basic Materials","Mining - Non Ferrous","","","","20180424","20170601",".09","","","","38.08","8137.47"
"Acadia Healthcare Company, Inc.","ACHC",".47",".67","9","8",".65","8","2.23","2.45","2.77","17.08","16.08","14.27","1.29","0",".07","0","0",".16","NSDQ","12","Medical","Medical - Hospital","10.91","-10.77",".42","20180424","20171201",".61","0",".19",".39","55.643","3483.25"
"Acacia Communications, Inc.","ACIA",".06","0","8","2",".11","2","1.74",".28",".89","24.41","128.18","40.33","6.25","0",".1","0","0","0","NSDQ","12","Computer and Technology","Communication - Components","8","31.43","25.14","20180508","20171201",".27","0","0","0","0","1430.68"
"ACI Worldwide, Inc.","ACIW","-.11","-.08","2","2",".03","2",".5",".65",".93","30.23","36.46","25.68","3.04","0",".01","0","1.09","-4.61","NSDQ","12","Computer and Technology","Computer - Software","48.84","314.29","151.89","20180503","20171201",".64","-57.14","-71.43","28.57","46.62699","2767.81"
"AECOM","ACM",".65",".71","5","4",".75","4","2.9","2.69","3","11.73","13.01","11.65","2.34","0",".02","0","0","0","NYSE","9","Construction","Engineering - R and D Services","3.64","4.23","17.42","20180508","20171201",".57","0","0","0","46.333","5566.14"
"Accenture PLC","ACN","1.51","1.71","12","12","1.6","11","5.9","6.69","7.27","23.14","22.04","20.28","2.2","1.8",".09","0",".87",".51","NYSE","8","Business Services","Consulting Services","5.33","7.83","3.79","20180628","20180201","1.58","1.06","-1.68","-2.97",".2477","93627.27"
"Acorda Therapeutics, Inc.","ACOR",".73",".57","3","6","-.68","6","1.81","-.94","-3.93","","","","","0","-.38","","-9.58","-13.83","NSDQ","12","Medical","Medical - Biomedical and Genetics","-44.04","-34.85","-76.84","20180426","20171201",".61","10.03","-1.53","-13.6","39.144","1067.29"
"iShares MSCI ACWI ETF","ACWI","","","","","","","","","","","","","","1.98","","","","","NSDQ","12","Finance","Financial - Investment Funds","","","","","","","","","","","8271.78"
"Acxiom Corporation","ACXM",".2",".12","3","1",".11","1",".87",".55",".69","91.6","41.64","33.19","4.16","0","","0","0","-20.29","NSDQ","3","Computer and Technology","Computers - IT Services","29.17","46.67","20.74","20180515","20171201",".31","100","-20","-26.67","22.74699","1801.5"
"Adobe Systems Incorporated","ADBE","1.43","1.25","13","5","1.32","5","4.2","5.35","5.96","54.11","40.89","36.65","2.52","0",".23","1.25","-.04","2.28","NSDQ","11","Computer and Technology","Computer - Software","8.39","9.57","9.12","20180619","20180201","1.55",".07","1.69",".21","17.84","107658.87"
"Agree Realty Corporation","ADC",".71",".72","7","7",".73","7","2.7","2.9","3.11","18.2","17.04","15.9","3.41","4.2",".5","0",".04","-.02","NYSE","12","Finance","REIT and Equity Trust - Retail","2.9","0",".73","20180423","20171201",".71",".61","-.59","0","36.31399","1440.1"
"Adidas AG","ADDYY","1.57","1.17","3","2","1.97","2","4.01","4.77","5.87","31.89","26.13","21.24","1.44",".64",".05","-7","0","1.38","OTC","12","Consumer Discretionary","Shoes and Retail Apparel ","200","1.29","54.53","20180503","20171201",".21","5.17","5.22","4.6","13.25199","50243.3"
"Analog Devices, Inc.","ADI","1.3","1.37","13","13","1.39","12","4.63","5.63","5.79","17.11","15.69","15.26","1.31","2.17",".14","0",".35",".6","NSDQ","10","Computer and Technology","Semiconductor - Analog and Mixed","10.08","5.84","11.67","20180530","20180101","1.42","1.27","-.01","0","41.64599","32657.39"
"Archer Daniels Midland Company","ADM",".59",".68","5","5",".64","5","2.32","2.86","3.04","18.17","15.49","14.56","","3.02",".03","","-.36",".31","NYSE","12","Consumer Staples","Agriculture - Operations","17.14","-18.18","1.73","20180501","20171201",".82","1.49",".4","-2.1","26.70599","24773.33"
"Adient PLC","ADNT","1.93","2.29","6","5","2.2","5","9.36","7.51","9.71","7.59","8.51","6.59",".71","1.72",".05","0","-1.94",".05","NYSE","9","Auto-Tires-Trucks","Automotive - Original Equipment","-4.5","5.88","1.16","20180503","20171201","1.06","-2.61","-3.21","-4.68","44.07099","5967.06"
"Automatic Data Processing, Inc.","ADP","1.44",".81","8","8","1.03","5","3.71","4.14","4.68","29.46","27.44","24.31","2.49","2.22",".14","0",".76","0","NSDQ","6","Business Services","Outsourcing","11.24","7.06","5.45","20180502","20171201",".99","-1.28","2.22","1.11","33.747","50399.8"
"Ahold NV","ADRNY","","","","","","","1.58","1.78","2","17.04","13.46","12","1.58","2.12",".03","-14.14","1.43",".99","OTC","12","Consumer Staples","Consumer Products - Staples","","","","20180509","20171201",".36","","","","17.818","29723.21"
"ANDRITZ AG","ADRZY",".19","","1","","","",".72",".75",".78","19.46","15.41","14.72","3.08","2.12",".04","0","0","0","OTC","12","Industrial Products","Industrial Services","","","","20180503","20171201",".17","","","","37.39799","5969.6"
"Alliance Data Systems Corporation","ADS","4.57","4.88","14","4","5.99","4","18.08","21.46","24.23","11.13","9.59","8.49",".75","1.11",".1","-1.92","-.02","-.16","NYSE","12","Business Services","Financial Transaction Services","25.2","6.36","8.95","20180419","20171201","6.26","-9.99","-.71","3.59","90.647","11411.1"
"Autodesk, Inc.","ADSK","-.11","-.18","12","7","-.04","7","-.51","-.03","2.33","","","53.97","","0","-.28","0","-2","25","NSDQ","1","Computer and Technology","Computer - Software","25","7.69","21.66","20180517","20180101","-.09","1.01","-.52","-235.07","93.661","27454.75"
"Advanced Disposal Services Inc.","ADSW",".04",".17","4","4",".17","3",".5",".56",".73","45.57","40.16","30.59","2.59","0",".03","0","0","0","NYSE","12","Business Services","Waste Removal Services","-7.14","-5.88","56.74","20180503","20171201",".13","0","0","0","68.051","1976.38"
"ADT Inc.","ADT",".16",".23","1","1",".25","1",".76",".92","1.27","","9.51","6.89","","1.6",".08","","1394.12","1068.42","NYSE","12","Industrial Products","Security and Safety Services","-142.86","","","20180621","20171201","-.06","550","866.67","2600","74.67099","6553.29"
"Adams Diversified Equity Fund","ADX","","","","","","","","","","","","","","1.51","","","","","NYSE","12","Finance","Financial - Investment Funds","","","","","","","","","","","1485.3"
"Ameren Corporation","AEE",".58",".78","3","2","1.23","2","2.8","3.02","3.2","20.12","18.9","17.88","2.73","3.2",".08","0",".19",".09","NYSE","12","Utilities","Utility - Electric Power","14.71","-5.34","5.97","20180503","20171201",".39","0","0",".41","49.19599","13861.74"
"Aegon NV","AEG","","","","","","","1.07",".83",".88","8.08","8.18","7.72","","3.64",".07","","-.38","-.4","NYSE","12","Finance","Insurance - Multi line","","","","20180510","20171201",".22","","","","37.39899","13851.6"
"Advanced Energy Industries, Inc.","AEIS","1.32","1.22","8","5","1.17","5","4.67","4.78","4.93","14.13","12.83","12.45","1.43","0",".21","0","0","0","NSDQ","12","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","8.26","1.71","7.8","20180507","20171201","1.31","0","0","0","0","2434.56"
"American Equity Investment Life Holding Company","AEL",".83",".85","3","3",".86","3","3.01","3.4","3.6","9.16","8.48","8.01","",".9",".04","","0","0","NYSE","12","Finance","Insurance - Life Insurance","22.39","52.38","27.23","20180502","20171201",".82","0","0","0","20.538","2593.94"
"Agnico Eagle Mines Limited","AEM",".19",".15","4","3",".15","3","1",".64",".92","39.4","65.97","46.5","65.97","1.03",".11","0","0","0","NYSE","12","Basic Materials","Mining - Gold","10.53","64.71","57.04","20180426","20171201",".21","0","0","0","21.70999","9924.15"
"American Eagle Outfitters, Inc.","AEO",".44",".22","10","10",".25","8","1.16","1.46","1.53","18.14","14.38","13.72","2.03","2.38",".05","27.92","8.78","7.65","NYSE","1","Retail-Wholesale","Retail - Apparel and Shoes","0","-5.13","1.93","20180516","20180101",".44","0","13.02","13.74","0","3730.56"
"American Electric Power Company, Inc.","AEP",".99",".82","5","3","1.18","3","3.63","3.89","4.12","18.72","17.63","16.63","3.27","3.62",".12","1.02",".16","-.05","NYSE","12","Utilities","Utility - Electric Power","4.94","-4.35","-2.25","20180426","20171201",".85","-1.09","0",".57","51.46599","33717.17"
"Aercap Holdings N.V.","AER","1.57","1.51","6","4","1.54","4","6.17","6.22","6.68","8.11","8.26","7.7",".69","0",".21","0","0","0","NYSE","12","Finance","Financial - Leasing Companies","21.01","10.2","11.85","20180503","20171201","1.67","0","0","0","76.689","8126.76"
"Aerie Pharmaceuticals, Inc.","AERI","-.89","-.97","4","4","-.89","4","-3.27","-3.62","-1.65","","","","","0","","","0","0","NSDQ","12","Medical","Medical - Drugs","-6.98","-14.52","-3.12","20180501","20171201","-1.38","0","0","0","47.735","1984.52"
"The AES Corporation","AES",".25",".31","4","2",".3","2","1.01","1.2","1.32","10.48","9.56","8.68","1.22","4.55","-.11","-3.16","2.2",".99","NYSE","12","Utilities","Utility - Electric Power","34.38","-17.24","5.3","20180514","20171201",".43","4.08","0","0","78.605","7542.82"
"Aetna Inc.","AET","3.01","3.44","10","9","2.83","9","9.78","11.01","12.18","17.33","15.48","13.99","1.38","1.17",".03","0","-.67","-.52","NYSE","12","Medical","Medical - HMOs","5.93","18.93","21.46","20180501","20171201","1.25","0",".26","-.27","34.004","55704.55"
"Arc Resources Ltd.","AETUF","","","","","","","","","","15.6","","","","4.3",".32","","","","OTC","12","Oils-Energy","Oil and Gas - Exploration and Production - Canadian","","","","20180502","20171201",".17","","","","18.583","3917.42"
"ATOS ORIGIN SA","AEXAY","","","","","","","","","","","","","",".94",".05","","","","OTC","12","Business Services","Technology Services","","","","","","","","","","19.193","14374.47"
"American Financial Group, Inc.","AFG","1.9","1.88","3","2","2.06","2","6.05","8.2","8.62","16.72","13.37","12.73",".86","1.28",".07","27.81","0","0","NYSE","12","Finance","Insurance - Property and Casualty","33.33","24.71","26.31","20180502","20171201","2.2","0","0","0","19.65299","9697.68"
"Aflac Incorporated","AFL",".97",".99","7","6",".99","6","3.38","3.89","4.08","12.76","11.16","10.63","1.71","2.4",".21","30.4","1.44","1.28","NYSE","12","Finance","Insurance - Accident and Health","3.23","4.94","5.88","20180425","20171201",".8","1.58","1.54","1.63","17.697","33801.11"
"Air France-KLM SA","AFLYY","-.19",".81","1","1","1.92","1","3.47","2.71","2.87","9.15","3.99","3.77",".51","0","-.01","0","0","0","OTC","12","Transportation","Transportation - Airline","-88","61.82","","20180503","20171201",".06","0","0","0","66.791","4629.25"
"AmTrust Financial Services, Inc.","AFSI",".3",".29","1","1",".31","1",".9","1.48","2.15","11.64","8.37","5.74","","5.51","-.06","","0","4.12","NSDQ","12","Finance","Insurance - Property and Casualty","95.92","-2.44","-.72","20180514","20170901","-.04","0","-3.33","-3.13","27.70199","2421.81"
"First Majestic Silver Corp.","AG","-.03",".02","1","1","0","1","0",".03",".08","","229.5","76.5","","0","-.21","","0","0","NYSE","12","Basic Materials","Mining - Silver","-300","-100","-143.33","20180503","20171201","-.04","0","0","","4.0285","1014.24"
"AGCO Corporation","AGCO",".13","1.34","8","8",".89","8","3.03","3.7","4.53","21.44","17.49","14.3","1.37",".93",".02","1.52",".73",".42","NYSE","12","Industrial Products","Manufacturing - Farm Equipment","-.9","9.72","26.91","20180427","20171201","1.1","4.54",".04","-.83","34.33","5155.87"
"Ageas SA","AGESY","","","","","","","3.33","4.49","4.67","14.81","11.58","11.13","2.6","3.17",".05","0","0","0","OTC","12","Finance","Insurance - Multi line","","","","20180509","20171201","1.55","","","","16.23299","10886.71"
"iShares Core U.S. Aggregate Bond ETF","AGG","","","","","","","","","","","","","","2.43","","","","","NYSE","12","Finance","Financial - Investment Funds","","","","","","","","","","","54855.52"
"Alamos Gold Inc.","AGI",".04",".04","2","1",".04","1",".16",".19",".34","42.23","28.59","16.03",".86",".36",".05","1.96","0","-8.57","NYSE","12","Basic Materials","Mining - Gold","-20","66.67","11.67","20180501","20171201",".04","-12.5","0","0",".12292","2137.7"
"Argo Group International Holdings, Ltd.","AGII",".78",".84","2","2",".76","2","-.35","3.47","3.92","","16.44","14.57","","1.89",".03","","-.37","-.16","NSDQ","12","Finance","Insurance - Property and Casualty","-29.41","13.96","5.06","20180502","20171201","-.57",".31","-.36","0","17.87999","1927.92"
"Agios Pharmaceuticals, Inc.","AGIO","-1.6","-1.61","4","3","-1.73","3","-6.59","-6.25","-4.42","","","","","0","-7.32","","-.05","-1.52","NSDQ","12","Medical","Medical - Products","-9.7","8.62","-1.34","20180503","20171201","-1.81",".16","-2.71","-4.69","0","4197.48"
"Allergan plc","AGN","3.35","3.89","20","20","3.88","20","16.24","15.58","16.58","9.86","10.37","9.74","1.15","1.78","-.26","-1","-.1",".01","NYSE","12","Medical","Medical - Generic Drugs","2.32","2.22","1.8","20180430","20171201","4.86",".03",".15","-.03","25.926","56263.71"
"AGNC Investment Corp.","AGNC",".61",".61","3","3",".6","3","2.55","2.41","2.3","7.52","7.87","8.23","","11.4","1","","0","0","NSDQ","12","Finance","REIT and Equity Trust","0","-6.35","4.39","20180425","20171201",".62","0","0","0","3.91829","7415.46"
"Assured Guaranty Ltd.","AGO","","","","","","","","","","6.95","","","","1.72",".42","","","","NYSE","12","Finance","Insurance - Multi line","","","","20180503","20171201",".77","","","","15.89","4292.95"
"Agile Property Holdings Ltd.","AGPYY","","","","","","","","","","","","","","2.51",".13","","","","OTC","12","Finance","Real Estate - Development","","","","20180404","","","","","","43.87099","8090.28"
"Avangrid, Inc.","AGR",".75",".49","4","2",".41","2","2.2","2.37","2.52","23.17","21.55","20.23","2.34","3.39",".06","0","0","0","NYSE","12","Utilities","Utility - Electric Power","0","8.11","9.94","20180423","20171201",".61","0","0","0","25.606","15749.99"
"Anhui Conch Cement Co.","AHCHY","","","","","","","1.75","1.89","1.96","","15.68","15.12","",".97","","","0","0","OTC","12","Construction","Building Products - Concrete and Aggregates","","","","20180424","20170901",".43","","","","9.66919","7701.43"
"Adecco SA","AHEXY","","","","","","","2.86","3.18","3.3","13.15","10.94","10.58","1.56","1.26",".03","0","0","0","OTC","12","Business Services","Outsourcing","","","","20180508","20171201","1.05","","","","30.36499","11929.57"
"Alliance Holdings GP, L.P.","AHGP",".82",".87","1","1",".86","1","3.15","3.37","3.27","7.62","7.22","7.44","","12.21",".1","","0","0","NSDQ","12","Oils-Energy","Coal","-5.75","-28.57","-5.8","20180430","20171201",".82","0","0","0","29.093","1455.87"
"Asahi Kasei Corp.","AHKSY","","","","","","","1.89","1.9","1.9","14.94","13.65","13.65","-2.73",".74","","0","0","0","OTC","3","Basic Materials","Chemical - Diversified ","","","","20180510","20170901",".54","","","","13.343","18234.01"
"Aspen Insurance Holdings Limited","AHL","1.01","1.04","1","1",".4","1","-6.9","3.7","4","","11.92","11.02","","2.18","-.11","","0","0","NYSE","12","Finance","Insurance - Property and Casualty","9.25","5.72",".71","20180502","20171201","-3.14","0","0","0","16.856","2622.8"
"American International Group, Inc.","AIG","1.3","1.39","6","5","1.43","5","2.56","5.51","6.07","23.93","9.73","8.83",".88","2.39","-.12","0","-2.37","-2.27","NYSE","12","Finance","Insurance - Multi line","-26.92","-46.99","-5.97","20180502","20171201",".57","-5.35","-2","2.22","32.50199","48372.34"
"Altra Industrial Motion Corp.","AIMC",".61",".67","2","2",".6","2","2.05","2.43","2.69","21.88","18.48","16.67","","1.52",".06","","-.12","0","NSDQ","12","Industrial Products","Manufacturing - General Industrial ","-4.08","4.35","11.13","20180427","20171201",".47","0","0","0","40.992","1317.83"
"Aimmune Therapeutics, Inc.","AIMT","-.66","-.67","5","4","-.69","4","-2.55","-2.72","-2.78","","","","","0","","","2.85","1.03","NSDQ","12","Medical","Medical - Biomedical and Genetics","-12.5","12.5",".08","20180514","20171201","-.81","1.26",".74","1.79","0","1664.34"
"Albany International Corporation","AIN",".47",".5","1","1",".53","1","1.24","2.04","2.69","39.17","31.1","23.59","","1.07",".04","","0","0","NYSE","12","Industrial Products","Textile - Products","7.5","","","20180503","20171201",".43","0","0","0","47.291","2043.09"
"Apollo Investment Corporation","AINV",".16",".16","6","4",".17","4",".62",".65",".65","8.38","8.2","8.25","1.64","11.19","","0","0","0","NSDQ","3","Finance","Financial - SBIC & Commercial Industry","0","0","1.56","20180518","20171201",".16","0","0","0","37.784","1160.57"
"Air Liquide","AIQUY","","","","","","","1.18","1.3","1.42","","19.13","17.51","1.37","1.59",".11","0","0","0","OTC","12","Basic Materials","Chemical - Diversified ","","","","","","","","","","42.825","53126.93"
"AAR Corp.","AIR",".48",".69","3","3",".57","3","1.46","1.81","2.76","27.19","23.88","15.66","",".69",".03","","1.22","-2.86","NYSE","5","Aerospace","Aerospace - Defense Equipment","2.08","-5.41","-.25","20180710","20180201",".49","-4.03","-3.29","4.24","17.51199","1501.33"
"Air China Ltd.","AIRYY","","","","","","","2.29","2.26","","","10.86","",".54","1.06","","0","","0","OTC","12","Transportation","Transportation - Airline","","","","20180427","20170601",".42","","","","42.07799","5600.8"
"Applied Industrial Technologies, Inc.","AIT",".86",".86","2","2",".99","1","2.82","3.34","4.22","22.48","21.27","16.82","1.77","1.69",".05","0","2.42","-2.91","NYSE","6","Industrial Products","Manufacturing - General Industrial ","8.45","13.16","10.97","20180426","20171201",".77","-8.06","-2.27","5.32","28.23399","2747.86"
"Apartment Investment and Management Company","AIV",".6",".62","7","6",".63","6","2.45","2.48","2.59","16.76","16.58","15.88","2.87","3.7",".31","0","-.91","-.95","NYSE","12","Finance","REIT and Equity Trust - Residential","0","1.61",".82","20180507","20171201",".63","-1.03","-1.27","-.94","71.678","6461.54"
"Assurant, Inc.","AIZ","1.91","1.92","2","2","1.76","2","3.69","7.72","8.78","22.73","11.6","10.19",".6","2.5",".08","0","-1.07","-2.65","NYSE","12","Finance","Insurance - Multi line","16.46","21.79","16.31","20180501","20171201","1.84","-.52","-7.23","-1.4","19.96699","4698.61"
"Arthur J. Gallagher & Co.","AJG",".57","1.16","9","8",".94","8","2.99","3.58","4","21.92","18.72","16.75","1.6","2.44",".08","5.28",".84",".44","NYSE","12","Finance","Insurance - Brokerage","9.33","3.85","4.18","20180426","20171201",".82",".99",".65","0","39.25899","12171.87"
"Ajinomoto Co.","AJINY","","","","","","","","","","18.09","","","",".53","","","","","OTC","3","Consumer Staples","Food - Miscellaneous","","","","20180521","20170901",".24","","","","28.826","10242.07"
