Company Name,Ticker,Q0 Consensus Est. (last completed fiscal Qtr),Q1 Consensus Est. ,# of Analysts in Q0 Consensus,# of Analysts in Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Div. Yield %,Net Margin,% Change LT Growth Est. (4 weeks),% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),Exchange,Month of Fiscal Yr End,Sector,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,Last Reported Qtr ,Last Qtr EPS,% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q2 Est. (4 weeks),Debt/Total Capital,Market Cap 
"Bed Bath & Beyond Inc.","BBBY","1.41",".46","10","7",".64","7","3.02","2.76","2.53","5.82","7.6","8.3","-3.8","2.86","","0","0","-1.07","NSDQ","2","Retail-Wholesale","Retail - Miscellaneous","22.22","-21.05","-1.75","20180411","20171101",".44","0","2.79","2.54","35.18099","2990.67"
"Banco Bradesco SA","BBD",".2",".2","3","2",".21","2",".85",".85",".96","11.69","12.32","10.93","",".56",".1","","-1.19","-1.27","NYSE","12","Finance","Banks - Foreign","13.64","19.05","14.87","20180426","20171201",".23","-1.74","-2.67","-2.29","41.56999","77089.98"
"Banco Bradesco SA","BBDO","","","","","","","","","","10.96","","","",".54",".1","","","","NYSE","12","Finance","Banks - Foreign","","","","20180426","20171201",".23","","","","41.56999","32994.5"
"BHP Billiton PLC","BBL","","","","","","","2.87","3.36","2.98","","11.62","13.08","2.2","5.02",".15","0","0","0","NYSE","6","Basic Materials","Mining - Miscellaneous","","","","","","","","","","29.25099","41226.24"
"BB Seguridade Participacoes SA","BBSEY","","","","","","","","","","","","","","5.94","","","","","OTC","12","Finance","Insurance - Multi line","","","","","","","","","","","17160"
"BB&T Corporation","BBT",".92","1","11","10","1","10","2.77","3.94","4.27","16.28","12.97","11.96","1.17","2.58",".2","0","1.06",".44","NYSE","12","Finance","Banks - Major Regional","2.5","0","1.29","20180419","20171201",".82",".3",".2",".91","44.332","39786.29"
"Brookfield Business Partners L.P.","BBU","","","","","","","","","","143.89","","","",".62","0","","","","NYSE","12","Business Services","Business - Services","","","","20180514","20171201","-.35","","","","28.69199","2666.63"
"Banco Bilbao Viscaya Argentaria S.A.","BBVA","","","","","","",".67",".84","","10.31","9.2","","1","1.11",".14","0","","0","NYSE","12","Finance","Banks - Foreign","","","","20180426","20171201",".2","","","","54.51699","50759.94"
"Best Buy Co., Inc.","BBY","2.07",".74","11","7",".82","8","4.06","4.97","5.41","15.7","14.17","13.03",".97","2.55",".02","0","0","0","NYSE","1","Retail-Wholesale","Retail - Consumer Electronics","18.05","-1.27","19.08","20180524","20180101","2.42",".54","0","0","18.336","20606.13"
"Brunswick Corporation","BC",".95","1.57","11","11","1.18","11","3.85","4.59","5.15","15.4","12.74","11.37",".78","1.3",".03","0","0",".13","NYSE","12","Consumer Discretionary","Leisure and Recreation Products","-9","1.5","-.5","20180426","20171201",".7","0","0","0","22.552","5122.96"
