Company Name,Ticker,% Change LT Growth Est. (4 weeks),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Div. Yield %,Net Margin,% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),Exchange,Sector,Month of Fiscal Yr End,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,Debt/Total Capital,Market Cap 
"Cheniere Energy Partners LP Holdings, LLC","CQH","",".54","2.12","2.22","56.47","13.59","12.95","","7.08",".98","-1.19",".63","AMEX","Oils-Energy","12","Oil and Gas - Production and Pipelines","-4.26","-95.56","-24.96","20180503","0","6672.96"
"Cheniere Energy Partners, LP","CQP","","-2.37","2.06","2.15","","14.64","13.99","","6.63",".11","-1.15","-1.32","AMEX","Oils-Energy","12","Oil and Gas - Production and Pipelines","94.87","-433.33","-265.35","20180503","96.16999","14592.66"
"Crane Company","CR","0","4.53","5.52","6.2","21.17","17.36","15.45","1.33","1.46",".06",".36","2.39","NYSE","Conglomerates","12","Diversified Operations",".85","3.67","2.6","20180423","26.815","5719.37"
"Credit Agricole SA","CRARY","",".75",".8",".88","12.38","10.52","9.57","","2.84",".17","8.64","8.11","OTC","Finance","12","Banks - Foreign","","","","20180511","83.162","47928.4"
"Cree, Inc.","CREE","",".47",".1",".55","526.63","409.6","76.6","","0","-.07","8.15","5.88","NSDQ","Computer and Technology","6","Semiconductor - Discretes","-150","33.33","-57.38","20180424","5.15159","4208.28"
"Cresud S.A.C.I.F. y A.","CRESY","","","","","","","","","2.01",".02","","","NSDQ","Consumer Staples","6","Agriculture - Operations","","","","20180521","68.342","1071"
"CRH PLC","CRH","0","2.02","2.48","2.83","","13.75","12.05","1.96","3.53",".07","0","0","NYSE","Construction","12","Building Products - Miscellaneous","","","","20180314","33.838","28598.78"
"China Resources Enterprise Ltd.","CRHKY","","","","","","","","",".43","","","","OTC","Conglomerates","12","Diversified Operations","","","","20180320","14.02299","14387.14"
"Carter's, Inc.","CRI","-5.52","5.64","6.69","7.34","19.35","16.7","15.24","1.72","1.61",".09","3.86","3.98","NYSE","Consumer Discretionary","12","Shoes and Retail Apparel ","5.45","2.41","8.65","20180426","41.868","5265.75"
"Charles River Laboratories International, Inc.","CRL","1.45","5.14","5.77","6.55","21.82","19.97","17.59","1.61","0",".07","6.37","4.02","NYSE","Medical","12","Medical Services","11.11","6.56","9.14","20180509","51.91199","5463.81"
"Salesforce.com Inc","CRM","-3.33","1.33","2.03","2.56","93.91","62.58","49.52","2.59","0",".01","19.51","18.61","NYSE","Computer and Technology","1","Computer - Software","6.06","5.41","6.4","20180517","6.92609","91573.2"
"Cairn Energy PLC","CRNCY","",".93",".23",".33","","26.12","18.2","","0","","0","0","OTC","Oils-Energy","12","Oil and Gas - Exploration and Production - International","","","","20180314","7.3516","1751.9"
"CRONOS GROUP","CRON","","","","","","","","","0","","","","NSDQ","Finance","12","Financial - Investment Management","","","","","","1248.2"
"China Resources Power Holdings Co.","CRPJY","","3.2","","","","","","","5.95","","","","OTC","Utilities","12","Utility - Electric Power","","","","20180322","","8623.52"
"Carrefour SA","CRRFY","",".26",".28",".31","","15.78","14","","2.47","-.01","0","0","OTC","Retail-Wholesale","12","Retail - Supermarkets","","","","","36.865","16410.3"
"Carpenter Technology Corporation","CRS","","1.01","2.32","3.29","25.39","22.56","15.9","","1.38",".03","-2.59","-3.74","NYSE","Basic Materials","6","Steel - Speciality","7.84","11.36","18.17","20180426","29.086","2453.73"
"CRISPR THERAPTC","CRSP","","-2.42","-2.77","-2.98","","","","","0","-1.67","-2.76","2.35","NSDQ","Medical","12","Medical - Biomedical and Genetics","100","-3.33","25.12","20180510","0","2668.24"
"Criteo S.A.","CRTO","0","2.42","2.29","2.64","11.26","13.34","11.56",".67","0",".04","19.88","22.29","NSDQ","Computer and Technology","12","Internet - Software and Services","31.52","12.07","14.12","20180502",".23893","2013.45"
"Cirrus Logic, Inc.","CRUS","0","4.36","4.36","3.95","9.79","10.36","11.42","1.14","0",".17","0","0","NSDQ","Computer and Technology","3","Electronics - Semiconductors","-10.17","14.29","12.07","20180502","0","2860.36"
"China Railway Group Ltd.","CRWOY","","","","","","","","","1.37","","","","OTC","Construction","12","Building Products - Heavy Construction","","","","20180330","35.73199","3032.69"
"Commerzbank AG","CRZBY","","","","","63.35","","","","0","","","","OTC","Finance","12","Banks - Foreign","","","","20180208","61.2","19042.1"
"Carrizo Oil & Gas, Inc.","CRZO","","1.42","2.73","3.25","11.05","5.62","4.73","","0",".12","-.41","-10.62","NSDQ","Oils-Energy","12","Oil and Gas - Exploration and Production - United States","3.57","37.5","24.88","20180508","73.57499","1251.37"
"Credit Suisse Group","CS","","-.15","1.4","1.94","30.63","13.13","9.47","","3.9","-.03","","-1.41","NYSE","Finance","12","Banks - Foreign","","","","20180425","80.397","46979.5"
"Cisco Systems, Inc.","CSCO","28","2.38","2.56","2.82","18.59","17.78","16.14","2.78","2.55",".2","7.78","3.94","NSDQ","Computer and Technology","7","Computer - Networking","6.78","1.67","2.98","20180516","33.019","219437.94"
"CenterState Banks, Inc.","CSFL","","","1.86","2.16","20.14","15.05","12.98","",".86",".18",".78","1.36","NSDQ","Finance","12","Banks - Southeast","2.86","15.63","8.85","20180315","18.19199","2340.1"
