Company Name,Ticker,% Change LT Growth Est. (4 weeks),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Div. Yield %,Net Margin,% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),Exchange,Sector,Month of Fiscal Yr End,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,Debt/Total Capital,Market Cap 
"Agilent Technologies, Inc.","A","-12.99","2.32","2.67","2.98","28.28","26.47","23.75","2.37",".84",".15","3.4","3.93","NYSE","Computer and Technology","10","Electronics - Testing Equipment","13.79","6.35","13.61","20180528","28.454","22819.34"
"Alcoa Corp.","AA","0","3.19","3.56","3.65","16.07","13.6","13.24","1.58","0",".02","0","0","NYSE","Industrial Products","12","Metal Products - Distribution","-15.45","-4","-.39","20180423","16.95599","9003.45"
"Advanced Accelerator Applications S.A.","AAAP","","","","","","","","","0","","","","NSDQ","Medical","12","Medical - Drugs","-238.89","-84.62","-90.22","20180322","0","3589.76"
"Altaba Inc.","AABA","","18.71","","","107.72","","","","0","","","","NSDQ","Finance","12","Financial - Investment Management","12.5","13.64","14.75","20180319","","67739.2"
"AAC Technologies Holdings Inc.","AACAY","0",".67",".9","1.13","35.54","22.55","18.05",".68",".94","","-1.74","-1.2","OTC","Computer and Technology","12","Electronics - Miscellaneous Components","","","","20180328","4.3017","24886.03"
"AIA GROUP LTD","AAGIY","","","","","","","","","1.19",".16","","","OTC","Finance","11","Insurance - Life Insurance","","","","","","104686.27"
"American Airlines Group, Inc.","AAL","112.01","4.83","5.89","7.02","11.53","9.6","8.05",".57",".71",".05","2.27","1.52","NSDQ","Transportation","12","Transportation - Airline","3.26","2.16","3.78","20180426","85.15","26732.34"
"Aaron's,  Inc.","AAN","","2.46","3.42","3.85","19.1","14.28","12.69","",".25",".09","8.96","3.19","NYSE","Retail-Wholesale","12","Retail - Consumer Electronics","20.37","-20.37","9.61","20180427","17.58799","3426.06"
"AAON, Inc.","AAON","0",".97","1.33","1.69","40.21","28.72","22.6","1.91",".68",".13","9.74","3.91","NSDQ","Construction","12","Building Products - Air Conditioner and Heating","-8.33","-6.67","-6.79","20180503","0","2002.95"
"Advance Auto Parts, Inc.","AAP","20.14","5.24","6.71","7.58","22.01","17.64","15.63","1.52",".2",".05","-.37","3.35","NYSE","Retail-Wholesale","12","Automotive - Retail and Wholesale - Parts","18.46","19.17","2.21","20180523","23.41799","8759.75"
"Apple Inc.","AAPL","0","9.01","11.43","12.73","18.68","15.89","14.27","1.37","1.39",".21",".8","-.23","NSDQ","Computer and Technology","9","Computer - Mini computers","1.83","10.7","5.72","20180501","42.56999","922049.69"
"American Assets Trust, Inc.","AAT","-7.62","2","2.05","2.15","17.11","15.92","15.16","3.02","3.3",".13",".94","-.48","NYSE","Finance","12","REIT and Equity Trust - Retail","-14.81","-3.7","-6.72","20180501","61.08399","1542.65"
"Atlas Air Worldwide Holdings","AAWW","","4.59","5.66","6.71","12.48","10.83","9.13","","0",".1","8.4","5.59","NSDQ","Transportation","12","Transportation - Air Freight and Cargo","16.83","-4.42","10.99","20180502","52.88399","1559.15"
"TASER International, Inc.","AAXN","0",".1",".38",".69","131.4","102.83","57.13","4.11","0",".02","35.29","116.98","NSDQ","Industrial Products","12","Security and Safety Services","700","-80","188.33","20180508","0","2090.61"
"AllianceBernstein Holding L.P.","AB","5.06","2.13","2.52","2.66","11.78","10.75","10.17","1.2","12.4",".06","-.56","5","NYSE","Finance","12","Financial - Investment Management","27.27","-1.92","8.54","20180426","0","2614.12"
"Abaxis,Inc.","ABAX","0","1.28","1.2","1.39","61.26","61.6","53.26","12.17",".86",".14","0","0","NSDQ","Medical","3","Medical - Products","6.9","0","-.62","20180426",".07111","1682.38"
"ABB Ltd","ABB","0","1.18","1.4","1.52","19.57","17.41","16.13","2.54","2.97",".06","1.11","2.26","NYSE","Industrial Products","12","Manufacturing - Electronics","32","13.33","14.12","20180419","30.415","52310.3"
"AbbVie Inc.","ABBV","0","5.56","7.5","8.69","21.16","15.78","13.61","1.12","2.4",".19","1.41",".17","NYSE","Medical","12","Large Cap Pharmaceuticals","2.78","1.44","1.81","20180426","85.861","187857.22"
"AmerisourceBergen Corporation (Holding Co)","ABC","7.05","5.88","6.52","7.35","16.5","15.38","13.65","1.51","1.52","0",".25",".09","NYSE","Medical","9","Medical - Dental Supplies","14.81",".76","5.87","20180503","61.63","22030.61"
"Ameris Bancorp","ABCB","","2.48","3.48","4.05","23.05","16.47","14.16","",".7",".18","0","0","NSDQ","Finance","12","Banks - Southeast","0","-3.08","-1.12","20180420","29.468","2195.01"
"Abcam PLC Unsponsored ADR","ABCZY","",".33",".46",".54","","39.56","33.7","",".59","","0","0","OTC","Medical","6","Medical - Products","","","","","","3729.97"
"Ambev S.A.","ABEV","",".18",".29",".31","31.74","25.17","23.55","","2.06",".15","-6.06","0","NYSE","Consumer Staples","12","Beverages - Alcohol","-20","0","-5","20180503","7.0689","114618.05"
"Asbury Automotive Group, Inc.","ABG","0","6.25","7.26","8.05","10.66","9.48","8.54",".88","0",".02","7.15","3.16","NYSE","Retail-Wholesale","12","Automotive - Retail and Whole Sales","13.12","-5.73","2.01","20180426","68.635","1437.79"
"ABLYNX NV","ABLYF","","-1.19","-1.29","-.98","","","","","0","-1.95","0","0","OTC","Medical","12","Medical - Biomedical and Genetics","","","","20180524","","4061.18"
"ABM Industries Incorporated","ABM","","1.85","1.93","2.33","23.33","19.7","16.32","","1.84","0","-11.41","-8.1","NYSE","Business Services","10","Building Products - Maintenance Service","-7.14","-19.57","-4.13","20180606","45.30199","2492.61"
"ABIOMED, Inc.","ABMD","0","1.16","2.3","3.23","153.51","128.01","91.17","4.06","0",".12","2.26","-1.07","NSDQ","Medical","3","Medical - Instruments","40","18.92","16.51","20180503","0","13050.44"
"Abbott Laboratories","ABT","0","2.5","2.86","3.21","25.45","22.26","19.8","1.91","1.76",".02","-.06","-.03","NYSE","Medical","12","Medical - Products","1.37","1.54","4.47","20180418","46.666","111101.77"
"Barrick Gold Corporation","ABX","0",".73",".87",".75","16.39","13.89","16.12","6.94",".99",".17","-15.13","-5.3","NYSE","Basic Materials","12","Mining - Gold","10","-5.88","-6.89","20180423","36.50999","14155.71"
"ACADIA Pharmaceuticals Inc.","ACAD","","-2.41","-1.83","-.73","","","","","0","-2.32","-8.63","-12.03","NSDQ","Medical","12","Medical - Biomedical and Genetics","5.17","15.87","11.24","20180508",".05663","3228.53"
"Aurora Cannabis Inc.","ACBFF","","","","","","","","","0","-.72","","","OTC","Medical","6","Medical - Products","","","","20180521","21.437","4449.54"
"American Campus Communities Inc","ACC","0","2.31","2.4","2.54","16.49","15.83","14.95","12.08","4.64",".09","-.49","-.49","NYSE","Finance","12","REIT and Equity Trust - Residential","1.41","-4.44","-1.22","20180423","47.429","5177.26"
"Acco Brands Corporation","ACCO","0","1.15","1.35","1.45","11.14","9.72","9.07",".97","1.83",".07","","9.07","NYSE","Industrial Products","12","Office Supplies","9.09","6.06","82.49","20180502","53.45999","1399.24"
"Agri Bank China","ACGBY","","","","","6.86","","","","3.55","","","","OTC","Finance","12","Banks - Foreign","","","","20180426","24.25699","17705.56"
"Arch Capital Group Ltd.","ACGL","0","3","6.21","6.87","26.78","13.71","12.4","1.25","0",".11","-.43","-.13","NSDQ","Finance","12","Insurance - Property and Casualty","18.58","-33.9","-1.93","20180424","26.826","11155.37"
"Aluminum Corporation of China Limited","ACH","","","","","","","","","0","","","","NYSE","Basic Materials","12","Mining - Non Ferrous","","","","20180327","","8721.7"
"Acadia Healthcare Company, Inc.","ACHC","3.48","2.23","2.46","2.77","18.18","17.05","15.14","1.37","0",".07","-1.83",".25","NSDQ","Medical","12","Medical - Hospital","10.91","-10.77",".42","20180424","55.643","3693.9"
"Acacia Communications, Inc.","ACIA","36.67","1.74",".88","1.63","25.48","51.03","27.53","2.49","0",".1","-23.76","-44.63","NSDQ","Computer and Technology","12","Communication - Components","8","31.43","25.14","20180508","0","1787.48"
"ACI Worldwide, Inc.","ACIW","0",".5",".65",".93","31.36","39.74","27.99","3.31","0",".01","46.46","19.09","NSDQ","Computer and Technology","12","Computer - Software","48.84","314.29","151.89","20180503","46.62699","3017.01"
"AECOM","ACM","-20.43","2.9","2.69","3","12.21","13.53","12.12","2.43","0",".02","0",".22","NYSE","Construction","9","Engineering - R and D Services","3.64","4.23","17.42","20180508","46.333","5790.57"
"Accenture PLC","ACN","0","5.9","6.65","7.2","26.42","24.31","22.45","2.43","1.65",".09","-.15","-.09","NYSE","Business Services","8","Consulting Services","7.83",".68","3.04","20180322",".22408","102718.1"
"Acorda Therapeutics, Inc.","ACOR","","1.81",".17","-2.59","20.48","147.13","","","0","-.38","-9.51","-75.69","NSDQ","Medical","12","Medical - Biomedical and Genetics","-44.04","-34.85","-76.84","20180426","39.144","1200.99"
"iShares MSCI ACWI ETF","ACWI","","","","","","","","","1.88","","","","NSDQ","Finance","12","Financial - Investment Funds","","","","","","8729.86"
"Acxiom Corporation","ACXM","0",".71",".85","1.08","39.26","37.72","29.71","3.77","0","0","1.72","1.29","NSDQ","Computer and Technology","3","Computers - IT Services","29.17","46.67","20.74","20180515","22.74699","2549.19"
"Adobe Systems Incorporated","ADBE","0","4.2","6.25","6.98","51.14","35.37","31.65","2.21","0",".23","0","0","NSDQ","Computer and Technology","11","Computer - Software","9.57","10","9.03","20180315","18.193","108997.1"
"Agree Realty Corporation","ADC","0","2.7","2.9","3.11","18.19","17.03","15.91","3.41","4.2",".5","-.16",".21","NYSE","Finance","12","REIT and Equity Trust - Retail","2.9","0",".73","20180423","36.31399","1439.51"
"Adidas AG","ADDYY","1.56","4.01","4.72","5.87","28.82","22.38","18.01","1.13",".75","","2.89","1.35","OTC","Consumer Discretionary","12","Shoes and Retail Apparel ","1.29","5.62","","20180314","13.218","42614.92"
"Analog Devices, Inc.","ADI","15.39","4.63","5.57","5.79","18.51","17.16","16.5","1.43","2.01",".14","3.92","7.09","NSDQ","Computer and Technology","10","Semiconductor - Analog and Mixed","10.08","5.84","11.67","20180530","41.64599","35327.34"
"Archer Daniels Midland Company","ADM","","2.32","2.85","3.06","18.25","15.61","14.58","","3.01",".03","3.91","2.83","NYSE","Consumer Staples","12","Agriculture - Operations","17.14","-18.18","1.73","20180501","26.70599","24885.11"
"Adient PLC","ADNT","12.78","9.36","7.51","9.9","7.32","8.21","6.23",".68","1.78",".05","0","0","NYSE","Auto-Tires-Trucks","9","Automotive - Original Equipment","-4.5","5.88","1.16","20180427","44.07099","5755.15"
"Automatic Data Processing, Inc.","ADP","0","3.71","4.14","4.64","30.45","28.36","25.32","2.58","2.14",".14","0","0","NSDQ","Business Services","6","Outsourcing","11.24","7.06","5.45","20180502","33.747","52097.48"
"Ahold NV","ADRNY","-25.44","1.58","1.78","2","15.96","12.6","11.23","1.48","2.27",".03","3.8","2.15","OTC","Consumer Staples","12","Consumer Products - Staples","12.9","3.7","","20180509","20.163","27830.72"
"ANDRITZ AG","ADRZY","0",".72",".75",".78","19.46","15.41","14.72","3.08","1.78","","0",".68","OTC","Industrial Products","12","Industrial Services","","","","20180316","39.402","5969.6"
"Alliance Data Systems Corporation","ADS","0","18.08","22.84","25.82","12.3","10.42","9.22",".8",".96",".1","-.02",".38","NYSE","Business Services","12","Financial Transaction Services","25.2","6.36","8.95","20180419","90.647","13203.12"
"Autodesk, Inc.","ADSK","0","-.51",".92","3.31","","150.81","41.78","5.8","0","-.28",".33","-17.22","NSDQ","Computer and Technology","1","Computer - Software","25","7.69","21.66","20180517","93.661","30478.32"
"Advanced Disposal Services Inc.","ADSW","12.37",".5",".56",".73","46.49","40.97","31.2","2.64","0",".03","-3.95","-6.71","NYSE","Business Services","12","Waste Removal Services","-7.14","-5.88","56.74","20180503","68.051","2016.22"
"ADT Inc.","ADT","","-.59","-.17",".11","","","94.5","","0","","","","NYSE","Industrial Products","12","Security and Safety Services","","","","20180315","","8021.23"
"Adams Diversified Equity Fund","ADX","","","","","","","","","1.4","","","","NYSE","Finance","12","Financial - Investment Funds","","","","","","1593.06"
"Ameren Corporation","AEE","-2.4","2.8","3.03","3.19","19.16","17.98","17.03","2.6","3.36",".08","1.11",".55","NYSE","Utilities","12","Utility - Electric Power","14.71","-5.34","5.97","20180503","49.19599","13201.76"
"Aegon NV","AEG","","1.07",".83",".88","8.17","8.23","7.77","","3.6",".07",".95","5.49","NYSE","Finance","12","Insurance - Multi line","","","","20180510","37.125","13994.4"
"Advanced Energy Industries, Inc.","AEIS","0","4.67","5.21","5.44","14.92","13.64","13.06","1.52","0",".21","0","0","NSDQ","Computer and Technology","12","Semiconductor Equipment - Wafer Fabrication","8.26","1.71","7.8","20180507","0","2814.86"
"American Equity Investment Life Holding Company","AEL","","3.01","3.4","3.6","10.45","9.68","9.14","",".79",".04","3","2.25","NYSE","Finance","12","Insurance - Life Insurance","22.39","52.38","27.23","20180502","20.538","2958.86"
"Agnico Eagle Mines Limited","AEM","0","1",".64",".92","36.54","61.18","43.13","61.18","1.12",".11","-25.76","-37.28","NYSE","Basic Materials","12","Mining - Gold","10.53","64.71","57.04","20180426","21.812","9186.02"
"American Eagle Outfitters, Inc.","AEO","27.92","1.16","1.44","1.53","16.92","13.64","12.8","1.93","2.55",".05","12.5","6.67","NYSE","Retail-Wholesale","1","Retail - Apparel and Shoes","0","-5.13","1.93","20180516","0","3480.56"
"American Electric Power Company, Inc.","AEP","0","3.63","3.89","4.12","18","16.95","15.98","3.15","3.77",".12","-.03","-.06","NYSE","Utilities","12","Utility - Electric Power","4.94","-4.35","-2.25","20180426","51.46599","32408.41"
"Aercap Holdings N.V.","AER","0","6.17","6.23","6.72","7.79","7.92","7.34",".66","0",".21","-1.76","-2.2","NYSE","Finance","12","Financial - Leasing Companies","21.01","10.2","11.85","20180508","76.03099","7801.25"
"Aerie Pharmaceuticals, Inc.","AERI","","-3.27","-3.57","-1.65","","","","","0","","-230.4","-38.81","NSDQ","Medical","12","Medical - Drugs","-6.98","-14.52","-3.12","20180501","47.735","2332.06"
"The AES Corporation","AES","0","1.01","1.17","1.29","9.85","9.18","8.35","1.14","4.84","-.11","0","0","NYSE","Utilities","12","Utility - Electric Power","34.38","-17.24","5.3","20180514","78.605","7093.69"
"Aetna Inc.","AET","0","9.78","11.09","12.26","18.01","15.97","14.44","1.42","1.13",".03",".75",".73","NYSE","Medical","12","Medical - HMOs","5.93","18.93","21.46","20180501","34.004","57891.71"
"Arc Resources Ltd.","AETUF","","","","","13.91","","","","4.82",".32","","","OTC","Oils-Energy","12","Oil and Gas - Exploration and Production - Canadian","","","","20180502","18.665","3495.11"
"ATOS ORIGIN SA","AEXAY","","","","","","","","",".91",".05","","","OTC","Business Services","12","Technology Services","","","","","22.49699","14762.04"
"American Financial Group, Inc.","AFG","0","6.05","8.2","8.62","17.47","13.98","13.3","1.15","1.22",".07","0","0","NYSE","Finance","12","Insurance - Property and Casualty","33.33","24.71","26.31","20180502","19.65299","10136.27"
"Aflac Incorporated","AFL","0","6.76","7.68","8.04","13.36","11.83","11.29","2.37","2.29",".21","0","0","NYSE","Finance","12","Insurance - Accident and Health","3.23","4.94","5.88","20180426","17.697","35394.91"
"Air France-KLM SA","AFLYY","-59.7","3.47","2.71","2.87","9.91","4.31","4.08",".55","0","-.01","-1.21","-3.39","OTC","Transportation","12","Transportation - Airline","-88","61.82","","20180503","69.18199","5009.87"
"AmTrust Financial Services, Inc.","AFSI","",".91","1.48","2.15","11.98","8.61","5.91","","5.35","","0","4.12","NSDQ","Finance","12","Insurance - Property and Casualty","95.92","-2.44","-.72","20180319","25.86899","2490.37"
"AGCO Corporation","AGCO","0","3.03","3.69","4.49","22.19","18.17","14.91","1.45",".9",".02","-.48","-.44","NYSE","Industrial Products","12","Manufacturing - Farm Equipment","-.9","9.72","26.91","20180427","34.33","5336.59"
"Ageas SA","AGESY","","3.33","4.49","4.67","15.19","11.88","11.42","2.66","3.09",".05","-11.22","2.16","OTC","Finance","12","Insurance - Multi line","","","","20180509","","11165.21"
"iShares Core U.S. Aggregate Bond ETF","AGG","","","","","","","","","2.42","","","","NYSE","Finance","12","Financial - Investment Funds","","","","","","54609.23"
"Alamos Gold Inc.","AGI","",".16",".21",".34","37.92","23.48","14.39",".72",".41",".05","-4.86","2.44","NYSE","Basic Materials","12","Mining - Gold","-20","66.67","11.67","20180503",".12292","1919.61"
"Argo Group International Holdings, Ltd.","AGII","","-.35","3.47","3.92","","15.9","14.08","","1.96",".03","1.31","-1.4","NSDQ","Finance","12","Insurance - Property and Casualty","-29.41","13.96","5.06","20180502","17.87999","1863.79"
"Agios Pharmaceuticals, Inc.","AGIO","","-6.59","-6.15","-4.42","","","","","0","-7.32","4.62","7.82","NSDQ","Medical","12","Medical - Products","-9.7","8.62","-1.34","20180503","0","4845.26"
"Allergan plc","AGN","0","16.24","15.58","16.6","9.67","10.17","9.54","1.12","1.82","-.26",".45",".19","NYSE","Medical","12","Medical - Generic Drugs","2.32","2.22","1.8","20180508","25.926","55180.33"
"AGNC Investment Corp.","AGNC","","2.55","2.41","2.3","7.4","7.75","8.1","","11.58","1","0","0","NSDQ","Finance","12","REIT and Equity Trust","0","-6.35","4.39","20180425","3.91829","7298.06"
"Assured Guaranty Ltd.","AGO","","","","","6.63","","","","1.8",".42","","","NYSE","Finance","12","Insurance - Multi line","","","","20180503","15.89","4099.3"
"Agile Property Holdings Ltd.","AGPYY","","","","","","","","","3.09","","","","OTC","Finance","12","Real Estate - Development","","","","20180321","","6559.49"
"Avangrid, Inc.","AGR","10.68","2.2","2.37","2.52","22.17","20.63","19.36","2.24","3.54",".06","-1.75","-1.32","NYSE","Utilities","12","Utility - Electric Power","0","8.11","9.94","20180424","23.854","15073.28"
"Adecoagro S.A.","AGRO","",".2",".31",".5","59.29","27.21","16.6","","0","","0","-26.51","NYSE","Consumer Staples","12","Agriculture - Operations","-80.95","-81.82","","20180315","57.296","1007.61"
"Anhui Conch Cement Co.","AHCHY","","1.75","1.89","1.96","","14.26","13.75","","1.07","","0","0","OTC","Construction","12","Building Products - Concrete and Aggregates","","","","20180322","9.66919","7006.14"
"Adecco SA","AHEXY","16.67","2.86","3.18","3.3","16.08","11.61","11.23","1.66","1.19","","4.27","2.74","OTC","Business Services","12","Outsourcing","","","","20180315","27.81399","12660.41"
"Alliance Holdings GP, L.P.","AHGP","","3.15","3.37","3.27","8.09","7.66","7.9","","11.5",".1","0","0","NSDQ","Oils-Energy","12","Coal","-5.75","-28.57","-5.8","20180507","29.093","1545.66"
"Asahi Kasei Corp.","AHKSY","0","1.19","1.89","1.9","15.26","14.05","13.94","-2.81","1.5",".06","0","0","OTC","Basic Materials","3","Chemical - Diversified ","","","","20180313","14.055","18619.73"
"Aspen Insurance Holdings Limited","AHL","","-6.9","3.7","4","","11.11","10.27","","2.34","-.11","0","0","NYSE","Finance","12","Insurance - Property and Casualty","9.25","5.72",".71","20180425","16.856","2444.38"
"American International Group, Inc.","AIG","0","2.56","5.54","6.12","25.27","10.21","9.26",".93","2.26","-.12",".76","-1.77","NYSE","Finance","12","Insurance - Multi line","-26.92","-46.99","-5.97","20180502","32.50199","51088.77"
"Altra Industrial Motion Corp.","AIMC","","2.05","2.39","2.7","22.9","19.62","17.39","","1.45",".06","",".42","NSDQ","Industrial Products","12","Manufacturing - General Industrial ","-4.08","4.35","11.13","20180427","40.992","1379.55"
"Aimmune Therapeutics, Inc.","AIMT","","-2.55","-2.75","-2.91","","","","","0","","3.48","6.73","NSDQ","Medical","12","Medical - Biomedical and Genetics","-12.5","12.5",".08","20180514","0","1846.56"
"Albany International Corporation","AIN","","1.24","2.04","2.69","41.05","32.6","24.72","","1.02",".04","0","0","NYSE","Industrial Products","12","Textile - Products","7.5","","","20180503","47.291","2141.3"
"Apollo Investment Corporation","AINV","0",".66",".62",".65","8.58","8.83","8.4","1.77","10.93",".07","0","0","NSDQ","Finance","3","Financial - SBIC & Commercial Industry","0","0","1.56","20180517","37.784","1188.72"
"Air Liquide","AIQUY","4.83","1.18","1.3","1.42","","19.53","17.87","1.39","1.56",".11","3.03","2.91","OTC","Basic Materials","12","Chemical - Diversified ","","","","","46.43799","54240.89"
"AAR Corp.","AIR","","1.46","1.87","2.73","30.32","24.06","16.46","",".67",".03","0","0","NYSE","Aerospace","5","Aerospace - Defense Equipment","-5.41","0","-.77","20180320","19.228","1558.65"
"Air China Ltd.","AIRYY","0","2.29","2.26","","","12.61","",".63",".92","","","0","OTC","Transportation","12","Transportation - Airline","","","","20180424","43.18299","6502.96"
"Applied Industrial Technologies, Inc.","AIT","0","2.82","3.45","4.13","23.58","21.59","18.06","1.8","1.61",".05","0","0","NYSE","Industrial Products","6","Manufacturing - General Industrial ","8.45","13.16","10.97","20180426","28.23399","2881.26"
"Apartment Investment and Management Company","AIV","-3.75","2.45","2.5","2.61","16.34","16.01","15.34","2.77","3.8",".31","-1.46","-1.04","NYSE","Finance","12","REIT and Equity Trust - Residential","0","1.61",".82","20180426","71.678","6299.51"
"Assurant, Inc.","AIZ","0","3.69","7.93","8.88","22.59","11.22","10.02",".58","2.52",".08","0","0","NYSE","Finance","12","Insurance - Multi line","16.46","21.79","16.31","20180501","19.96699","4670.31"
"Arthur J. Gallagher & Co.","AJG","0","2.99","3.58","4","23.43","20.04","17.91","1.81","2.29",".08",".84",".25","NYSE","Finance","12","Insurance - Brokerage","9.33","3.85","4.18","20180426","39.25899","13010.06"
"Ajinomoto Co.","AJINY","","","","","18.76","","","",".51",".05","","","OTC","Consumer Staples","3","Food - Miscellaneous","","","","20180313","28.63899","10619.5"
"ASHMORE GROUP","AJMPF","0",".21",".29",".31","","19.41","18.16","2.49","0","","0","0","OTC","Finance","6","Financial - Investment Management","","","","","","3982.5"
"Aerojet Rocketdyne Holdings, Inc.","AJRD","0",".83","1.04","1.2","38.66","27.14","23.58","4.93","0","0","11.32","12.23","NYSE","Aerospace","12","Aerospace - Defense Equipment","-36","0","16.33","20180514","85.24099","2119.32"
"Akamai Technologies, Inc.","AKAM","0","2.56","2.99","3.49","28.61","25.07","21.46","1.96","0",".09","5.34","1.57","NSDQ","Computer and Technology","12","Internet - Services","9.52","5.08","5.23","20180501","16.683","12747.27"
"Akbank Turk Anonim Sirketi","AKBTY","","","","","","","","","1.61","","","","OTC","Finance","12","Banks - Foreign","","","","20180313","","11140"
"Akcea Therapeutics, Inc.","AKCA","","-2.22","-1.54","1.01","","","19.86","","0","-1.99","424.73","-27.55","NSDQ","Medical","12","Medical - Biomedical and Genetics","-13.04","14.29","","20180528","0","1331.95"
"Embotelladora Andina S.A.","AKO.A","","","","","22.54","","","","2.57",".06","","","NYSE","Consumer Staples","12","Beverages - Soft drinks","","","","20180425","44.98799","4125.48"
"Embotelladora Andina S.A.","AKO.B","","","","","25.31","","","","2.52",".06","","","NYSE","Consumer Staples","12","Beverages - Soft drinks","16.67","0","7.12","20180425","44.98799","2315.92"
"Acadia Realty Trust","AKR","0","1.47","1.39","1.48","16.55","17.95","16.92","2.03","4.32",".24","-.45","-.89","NYSE","Finance","12","REIT and Equity Trust - Retail","12.12","2.78","6.45","20180423","29.09499","2092.54"
"Akorn, Inc.","AKRX","0",".95","1.16","1.5","11.78","16.35","12.65",".71","0","-.03","0","0","NSDQ","Medical","12","Medical - Generic Drugs","0","3.7","2.29","","49.513","2376.15"
"AK Steel Holding Corporation","AKS","0",".26",".54",".78","15.77","10.01","6.88","2","0","0","0",".6","NYSE","Basic Materials","12","Steel - Producers","57.14","-33.33","24.16","20180424","94.23","1689.92"
"Akzo Nobel NV","AKZOY","0","1.7","1.49","1.25","20.21","22.25","26.52","2.01","1.73",".09","0","-.33","OTC","Basic Materials","12","Chemical - Diversified ","16.13","-12.5","","20180418","27.808","25072.44"
"Air Lease Corporation","AL","0","3.44","4.63","5.54","11.97","9.47","7.91",".67",".91",".52","9.55","2.78","NYSE","Transportation","12","Transportation - Equipment and Leasing","21.84","4.65","6.68","20180503","70.148","4538.63"
"Albemarle Corporation","ALB","9.8","4.47","5.11","5.75","22.39","20.17","17.9","1.24","1.24",".02","-.89","-.51","NYSE","Basic Materials","12","Chemical - Diversified ","10.74",".93","6","20180502","27.047","11394.65"
"Alder BioPharmaceuticals, Inc.","ALDR","","-5.45","-4.24","-3.22","","","","","0","-178.42","-1.42","-8.62","NSDQ","Medical","12","Medical - Biomedical and Genetics","25.93","23.97","-12.05","20180426","0","1010.89"
"Allete, Inc.","ALE","-15.28","3.16","3.36","3.42","20.51","20.45","20.06","3.35","3.26",".12","-6.93","-5","NYSE","Utilities","12","Utility - Electric Power","-17.33","9.47","5.14","20180503","41.033","3514.08"
"Alexander & Baldwin Holdings, Inc.","ALEX","","","","","40.1","","","",".57",".54","","","NYSE","Finance","12","REIT and Equity Trust - Other","","","","20180503","49.539","1761.12"
"Alamo Group, Inc.","ALG","","4.49","5.36","5.68","25.42","21.79","20.57","",".38",".05","6.36","6.24","NYSE","Industrial Products","12","Manufacturing - Farm Equipment","12.24","12.9","12.17","20180502","11.786","1361.88"
"Align Technology, Inc.","ALGN","0","3.65","4.49","5.66","70.67","61.41","48.73","2.1","0",".16",".02",".07","NSDQ","Medical","12","Medical - Dental Supplies","23.96","23.17","22.61","20180426","0","22086.07"
"Allegiant Travel Company","ALGT","0","8.67","10.93","14.49","18.61","16.24","12.25",".56","1.58",".13","-.54","-.24","NSDQ","Transportation","12","Transportation - Airline","52.25","1.46","12.48","20180424","63.42399","2851.83"
"Actelion Ltd.","ALIOF","","","","","35.21","","","","0","","","","OTC","Medical","12","Medical - Biomedical and Genetics","","","","20180314","","29891.24"
"Alaska Air Group, Inc.","ALK","0","6.61","5.74","7.38","9.92","11.46","8.91","3.38","1.95",".13","-.57",".16","NYSE","Transportation","12","Transportation - Airline","0","-.44",".23","20180425","37.80699","8090.72"
"Alkermes plc","ALKS","",".08","-.12",".89","356.06","","68.2","","0","-.17","-31.07","-131.08","NSDQ","Medical","12","Medical - Biomedical and Genetics","47.62","200","68.15","20180426","18.797","9322.16"
"Allstate Corporation (The)","ALL","0","6.11","8.32","8.72","14.14","11.4","10.88","1.37","1.94",".08","-.78","-.61","NYSE","Finance","12","Insurance - Property and Casualty","39.33","81.82","58.04","20180501","21.972","33620.35"
"Allegion PLC","ALLE","-12.46","3.79","4.49","4.94","22.01","19.44","17.69","1.58",".73",".11","9.53","7.15","NYSE","Industrial Products","12","Security and Safety Services","18.09","0","8.72","20180426","78.055","8319.21"
"Ally Financial Inc.","ALLY","0","2.3","3.03","3.48","11.91","9.46","8.25",".75","1.81",".09","-1.02",".44","NYSE","Finance","12","Financial - Consumer Loans","18.64","14.04","10.02","20180426","76.622","12477.94"
"ANA Holdings Inc.","ALNPY","","","","","14.44","","","","1.33",".06","","","OTC","Transportation","3","Transportation - Airline","","","","20180316","41.78099","14171.34"
"Alnylam Pharmaceuticals, Inc.","ALNY","0","-5.29","-6.88","-5.67","","","","","0","-5.46","-4.94","-2.94","NSDQ","Medical","12","Medical - Biomedical and Genetics","-7.25","13.82","3.36","20180504","1.66999","14185.22"
"Analogic Corporation","ALOG","0","2.58","4.23","4.41","33.52","22.27","21.36","3.18",".42","-.15","47","47.9","NSDQ","Computer and Technology","7","Computer - Peripheral Equipment","86.76","97.37","","20180605","0","1177.6"
"Astellas Pharma Inc.","ALPMY","","","","","17.3","","","",".79",".16","","","OTC","Medical","3","Medical - Drugs","","","","20180426","2.52239","30060"
"Alarm.com Holdings, Inc.","ALRM","9.65",".91","1.13","1.33","36.12","34.88","29.7","2.23","0",".09","19.08","17.91","NSDQ","Industrial Products","12","Security and Safety Services","8.33","42.11","55.94","20180508","23.36899","1858.49"
